dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160815,SM,8,115,IH0020,173,0.111,177,0.466,ML EW,000505095,REHABILITATION,,RER,,SUBGRADE WIDENING (ORD COMP),Subgrade,112,70,3,,,200412,20060606,,,21556.253,1993,
20160815,SM,8,115,IH0020,173,0.111,177,0.466,ML EW,000505095,REHABILITATION,,RER,,ASPH MATRL (AE-P),Prime coat,310,95,4,,,200412,20060606,,,90686.19,1993,
20160815,SM,8,115,IH0020,173,0.111,177,0.466,ML EW,000505095,REHABILITATION,,RER,,"AGGR (TY PB, GR4) | HOT ASPH-RUBBER (TYPE II)",Seal coat grade 4,318,100,1,,,200412,20060606,,,452368.3815,1993,
20160815,SM,8,115,IH0020,173,0.111,177,0.466,ML EW,000505095,REHABILITATION,,RER,,HOT MIX-COLD LAID ASPH CONC PAV (TY F),Hot mix cold laid HMCL,334,110,5,,,200412,20060606,,,39525,1993,
20160815,SM,8,115,IH0020,173,0.111,177,0.466,ML EW,000505095,REHABILITATION,,RER,,"PLANE ASPH CONC PAV (3' TO 6')",Milling,354,120,2,6,,200412,20060606,,,399395.88,1993,
20160815,SM,8,115,IH0020,176,0.23,177,0.932,ML,000505098,SEAL COAT,,SC,,ASPH (AC10-2TR) | AGGR(TY-PB GR-4 SAC-B) | ASPH (AC-20XP) | ASPH (AC-20-5TR) | AGGR(TY-PB GR-4 SAC-C) | AGGR(TY-PB GR-3 SAC-C),Seal coat 2 CR,316,55,1,,,200611,20070808,,,4061095.207,2004,
20160815,SM,8,115,IH0020,163,0.25,173,0.584,ML EW,000505101,FLEXIBLE PAVEMENT REPAIR & ACP OVERLAY,,OV,,"CEMENT TREAT (EXIST MATL) (6') | CEMENT",Cement treated base,275,65,5,6,,200904,20091111,,,29266.96,2004,
20160815,SM,8,115,IH0020,163,0.25,173,0.584,ML EW,000505101,FLEXIBLE PAVEMENT REPAIR & ACP OVERLAY,,OV,,EMULS ASPH (PRIME)(AE-P),Prime coat,314,75,4,,,200904,20091111,,,29617.6,2004,
20160815,SM,8,115,IH0020,163,0.25,173,0.584,ML EW,000505101,FLEXIBLE PAVEMENT REPAIR & ACP OVERLAY,,OV,,ASPH (AC-20-5TR) | AGGR(TY-PB GR-3 SAC-B),Seal coat grade 3,316,80,2,,,200904,20091111,,,384142.94,2004,
20160815,SM,8,115,IH0020,163,0.25,173,0.584,ML EW,000505101,FLEXIBLE PAVEMENT REPAIR & ACP OVERLAY,,OV,,PFC (AGGREGATE)(PG76 MIX) SAC-A | PFC (ASPHALT) PG76-22,Permeable friction course PFC,342,90,1,1.25,,200904,20091111,1201.13,TON,550.395,2004,
20160815,SM,8,115,IH0020,163,0.25,173,0.584,ML EW,000505101,FLEXIBLE PAVEMENT REPAIR & ACP OVERLAY,,OV,,"PLANE ASPH CONC PAV (5.5') | PLANE ASPH CONC PAV (8') | PLANE ASPH CONC PAV(0' TO 2') | PLANE ASPH CONC PAV (2 1/2')",Milling,354,115,3,8,,200904,20091111,136247.72,SY,5.775,2004,
20160815,SM,8,115,IH0020,170,0.513,176,0.496,ML EW,000505105,SEAL COAT,,SC,,ASPH (TIER II) | AGGR(TY-PB GR-3 SAC-B) | ASPH (TIER III) | AGGR(TY-PB GR-4 SAC-A) | AGGR(TY-PB GR-4 SAC-B) | ASPH (TIER I),Seal coat 2 CR,316,135,1,,,201012,20110909,,,1985504.45,2004,PM
20160815,SM,8,115,IH0020,186,0.855,196,0.879,ML,000506107,"PLANING, FLEX BASE REPAIR, UNDERSEAL, ASPHALT CONCRETE PAVEMENT, AND MINOR STRUCTURE REPAIR",,OV,,PRODUCTION BONUS/PENALTY | STONE-MTRX-ASPH SMAR-F SAC-B | PLACEMENT BONUS/PENALTY,Stone matrix asphalt SMAR-F,346,110,1,,,200609,20080505,,,5968779,2004,
20160815,SM,8,115,IH0020,186,0.855,196,0.879,ML,000506107,"PLANING, FLEX BASE REPAIR, UNDERSEAL, ASPHALT CONCRETE PAVEMENT, AND MINOR STRUCTURE REPAIR",,OV,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(9')",Flexible base,351,115,3,9,,200609,20080505,,,1237101.4,2004,
20160815,SM,8,115,IH0020,186,0.855,196,0.879,ML,000506107,"PLANING, FLEX BASE REPAIR, UNDERSEAL, ASPHALT CONCRETE PAVEMENT, AND MINOR STRUCTURE REPAIR",,OV,,"PLAN & TEXT ASPH CONC PAV(0' TO 4')",Milling,354,120,2,4,,200609,20080505,,,192986.2,2004,
20160815,SM,8,115,IH0020,181,0.15,187,0,ML,000506108,"PLANNING, FLEX BASE REPAIR, UNDERSEAL, ASPHALTIC CONCRETE PAVEMENT, AND MINOR STRUCTURE REPAIR",,RER,,PRODUCTION BONUS/PENALTY | STONE-MTRX-ASPH SMAR-F SAC-B | PLACEMENT BONUS/PENALTY,Stone matrix asphalt SMAR-F,346,110,1,,,200609,20071010,,,3252170,2004,
20160815,SM,8,115,IH0020,181,0.15,187,0,ML,000506108,"PLANNING, FLEX BASE REPAIR, UNDERSEAL, ASPHALTIC CONCRETE PAVEMENT, AND MINOR STRUCTURE REPAIR",,RER,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(9')",Flexible base,351,115,3,9,,200609,20071010,,,364760,2004,
20160815,SM,8,115,IH0020,181,0.15,187,0,ML,000506108,"PLANNING, FLEX BASE REPAIR, UNDERSEAL, ASPHALTIC CONCRETE PAVEMENT, AND MINOR STRUCTURE REPAIR",,RER,,"PLANE ASPH CONC PAV(2' TO 4')",Milling,354,120,2,4,,200609,20071010,,,218494.8,2004,
20160815,SM,8,115,IH0020,181,0.087,184,0.079,ML EW,000506113,SEAL COAT,,SC,,ASPH (AC-20-5TR) | AGGR(TY-PB GR-4 SAC-B) | AGGR(TY-PB GR-3 SAC-B),Seal coat 2 CR,316,165,1,,,200912,20100909,,,4165434.32,2004,
20160815,SM,8,168,IH0020,196,0.878,206,0.207,ML EW,000507049,"PLANING, SPOT BASE REPAIR, CRUMB RUBBER UNDERSEAL,POROUS FRICTION COURSE",,OV,,PFC (AGGREGATE)(A-R MIX) SAC-A | PFC (ASPHALT) A-R-BNDR,Permeable friction course PFC,342,85,1,1,,201010,20120808,41377,TON,290,2004,PM
20160815,SM,8,168,IH0020,196,0.878,206,0.207,ML EW,000507049,"PLANING, SPOT BASE REPAIR, CRUMB RUBBER UNDERSEAL,POROUS FRICTION COURSE",,OV,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(4') | FLEX PAVEMENT STRUCTURE REPAIR (2.5') | FLEXIBLE PAVEMENT STRUCTURE REPAIR(12')",Flexible base,351,95,3,4,,201010,20120808,36981,SY,46.93,2004,PM
20160815,SM,8,168,IH0020,196,0.878,206,0.207,ML EW,000507049,"PLANING, SPOT BASE REPAIR, CRUMB RUBBER UNDERSEAL,POROUS FRICTION COURSE",,OV,,"PLAN & TEXT ASPH CONC PAV(0' TO 2')",Milling,354,100,2,2,,201010,20120808,,,6756,2004,PM
20160815,SM,8,168,IH0020,196,0.878,206,0.207,ML EW,000507049,"PLANING, SPOT BASE REPAIR, CRUMB RUBBER UNDERSEAL,POROUS FRICTION COURSE",,OV,,"HOT IN PLC RECYL ASPH CNC(SURF) 2 1/2' | HOT IN PLC RECYL OF ACP(RECYL AGNT)",Hot in-place recycling,3178,155,4,2.5,,201010,20120808,,,1341074.88,2004,PM
20160815,SM,8,168,IH0020,197,0,206,0,ML EW,000507050,SEAL COAT,,SC,,"AGGR(TY-PB GR-3 SAC-B) | ASPH(AC-20-5TR OR AC-20XP) | AGGR(TY-PB GR-4 SAC-B)(ALT-1) | AGGR(TY-PB GR-4 SAC-B) | ASPH (AC-20-5TR) | AGGR (TY PB GR3)(LOAD, HAUL & DISTRB)",Seal coat 2 CR,316,55,1,,,200711,20080909,,,3521939,2004,
20160815,SM,8,168,IH0020,212,0.725,218,0.046,ML,000508091,SEAL COAT,,SC,,ASPH (AC-20-5TR) | AGGR(TY-PB GR-4 SAC-B) | AGGR(TY-PB GR-3 SAC-B) | ASPH (AC-20XP),Seal coat 2 CR,316,55,1,,,200511,20061010,,,3579458.75,2004,
20160815,SM,8,115,BI0020G,310,0.925,310,1.577,ML EW,000510015,"PLANING, ASPHALT STABILIZED BASE, ASPHALT CONCRETE PAVEMENT, SIDEWALKS, AND PAVEMENT MARKINGS",,RER,,"REMOVING STAB BASE & ASPH PAV (0-6')",Milling,105,65,4,6,,201112,20131212,,,344.45,2004,HR
20160815,SM,8,115,BI0020G,310,0.925,310,1.577,ML EW,000510015,"PLANING, ASPHALT STABILIZED BASE, ASPHALT CONCRETE PAVEMENT, SIDEWALKS, AND PAVEMENT MARKINGS",,RER,,PRIME COAT (AE-P),Prime coat,310,95,6,,,201112,20131212,,,16073.64,2004,HR
20160815,SM,8,115,BI0020G,310,0.925,310,1.577,ML EW,000510015,"PLANING, ASPHALT STABILIZED BASE, ASPHALT CONCRETE PAVEMENT, SIDEWALKS, AND PAVEMENT MARKINGS",,RER,,ASPH (AC-20-5TR OR CRS-1P) | AGGR(TY-PB GR-3 SAC-B),Seal coat grade 3,316,100,3,,,201112,20131212,,,75746.61,2004,HR
