dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160727,SM,4,179,US0083,10,0,16,1.144,ML NS,003001029,REHAB EXISTING RDWY,,OV,,SUBGRADE WIDENING (DENS CONT),Subgrade,112,315,8,,,201007,20110303,,,8368.75,2004,
20160727,SM,4,179,US0083,10,0,16,1.144,ML NS,003001029,REHAB EXISTING RDWY,,OV,,"FL BS (CMP IN PLC)(TY A OR B GR4)(12')",Flexible base Gr 4,247,335,6,12,,201007,20110303,,,13187.09,2004,
20160727,SM,4,179,US0083,10,0,16,1.144,ML NS,003001029,REHAB EXISTING RDWY,,OV,,PRIME COAT (MC-30),Prime coat,310,340,9,,,201007,20110303,,,1703.45,2004,
20160727,SM,4,179,US0083,10,0,16,1.144,ML NS,003001029,REHAB EXISTING RDWY,,OV,,EMULS ASPH (EROSN CONT)(MS-2 OR SS-1),Prime coat,314,345,10,,,201007,20110303,,,5972.2,2004,
20160727,SM,4,179,US0083,10,0,16,1.144,ML NS,003001029,REHAB EXISTING RDWY,,OV,,FOG SEAL (CSS-1H),Fog seal,315,350,3,,,201007,20110303,,,6112.8,2004,
20160727,SM,4,179,US0083,10,0,16,1.144,ML NS,003001029,REHAB EXISTING RDWY,,OV,,ASPH (CRS-2) | AGGR(TY-B GR-4 SAC-B),Seal coat grade 4,316,355,4,,,201007,20110303,,,180432,2004,
20160727,SM,4,179,US0083,10,0,16,1.144,ML NS,003001029,REHAB EXISTING RDWY,,OV,,D-GR HMA(QCQA) TY-D SAC-B PG70-28,Dense-graded TY-D,341,365,2,1.5,,201007,20110303,,,1005609.21,2004,
20160727,SM,4,179,US0083,10,0,16,1.144,ML NS,003001029,REHAB EXISTING RDWY,,OV,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(12')",Flexible base,351,370,7,12,,201007,20110303,,,233478.72,2004,
20160727,SM,4,179,US0083,10,0,16,1.144,ML NS,003001029,REHAB EXISTING RDWY,,OV,,"PLANE ASPH CONC PAV(0' TO 1')",Milling,354,375,5,1,,201007,20110303,,,5579,2004,
20160727,SM,4,179,US0083,10,0,16,1.144,ML NS,003001029,REHAB EXISTING RDWY,,OV,,"CONC PVMT (CONT REINF-CRCP)(HES)(10')",Concrete pavement,360,380,1,10,,201007,20110303,,,17160,2004,
