dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160225,SM,19,34,US0067,252,0.0,254,0.298,ML,001010024,SEAL COAT,,SC,,AGGR (TY-PB GR-4 OR TY-PL GR-4 SAC-A) | ASPH (CRS-2H) | AGGR (TY-B GR-4 OR TY-L GR-4 SAC-A) | ASPH (AC-15P OR AC-20-5TR),Seal coat grade 4,316,55,1,,,200510,20061010,,,7136242.502,2004,
20160225,SM,19,34,US0067,250,1.653,256,0,ML EW,001010025,SEAL COAT,,SC,,ASPH (TIER II) | ASPH (TIER I) | AGGR (TIER I) | AGGR (TIER II),Seal coat,316,55,1,,,201210,20131111,,,5760655.2,2004,PM
20160225,SM,19,19,US0067,234,1.732,250,1.653,ML,001011067,SEAL COAT,,SC,,"AGGR (TY PB GR4 OR TY PL GR4) | ASPH (EMUL) | ASPH (AC) | AGGR (TY B, GR3)",Seal coat 2 CR,316,65,1,,,200410,20051010,,,6664063.655,1993,
20160225,SM,19,19,US0067,234,1.635,250,1.653,ML NS,001011068,SEAL COAT,,SC,,AGGR (TY-PB GR-4 OR TY-PL GR-4 SAC-A) | ASPH (TIER II) | ASPH (TIER I),Seal coat grade 4,316,55,1,,,201110,20120808,,,3154490,2004,PM
20160225,SM,19,19,US0082,758,0,764,1.782,ML,004603030,REHABILITATE EXISTING 2-LANE RURAL HIGHWAY,,RER,,EMBANK (ORD COMP)(TY B)(CL 2),Fill,132,71,5,,,200402,20050303,,,2000,1993,
20160225,SM,19,19,US0082,758,0,764,1.782,ML,004603030,REHABILITATE EXISTING 2-LANE RURAL HIGHWAY,,RER,,"ASPH (AC-20-5TR) | AGGR (TY PL, GR4)",Seal coat grade 4,316,105,3,,,200402,20050303,,,112135.75,1993,
20160225,SM,19,19,US0082,758,0,764,1.782,ML,004603030,REHABILITATE EXISTING 2-LANE RURAL HIGHWAY,,RER,,"PLANE ASPH CONC PAV (0' TO 3') | PLAN ASPH CONC PAV (3 ') | PLANE ASPH CONC PAV (0' TO 2') | PLANE ASPH CONC PAV (1')",Milling,354,115,4,3,,200402,20050303,30412,SY,1.6925,1993,
20160225,SM,19,19,US0082,758,0,764,1.782,ML,004603030,REHABILITATE EXISTING 2-LANE RURAL HIGHWAY,,RER,,"REPAIR EXIST CONC PAV (8 ')",Concrete pavement,361,145,1,8,,200402,20050303,,,59969,1993,
20160225,SM,19,19,US0082,758,0,764,1.782,ML,004603030,REHABILITATE EXISTING 2-LANE RURAL HIGHWAY,,RER,,HOT MIX (TY D)(SURF)(PG 64-22) | HOT MIX (TY D)(LEVEL-UP)(PG 76-22) | HOT MIX (TY D)(SURF)(PG 76-22),Dense-graded HMA,3146,355,2,3,,200402,20050303,39275,TON,39.83333333,1993,
20160225,SM,19,19,US0082,764,0.527,764,2.044,ML,004603035,SEAL COAT,,SC,,AGGR (TY-PB GR-4 OR TY-PL GR-4 SAC-A) | ASPH (CRS-2H) | AGGR (TY-B GR-4 OR TY-L GR-4 SAC-A) | ASPH (AC-15P OR AC-20-5TR),Seal coat grade 4,316,65,1,,,200610,20071010,,,6466683.59,2004,
20160225,SM,19,19,US0082,758,0,764,0.484,ML EW,004603036,SEAL COAT,,SC,,"AGGR (TY-PB GR-4 OR TY-PL GR-4 SAC-A) | ASPH (AC-20-5TR) | ASPH (AC-10-2TR, AC-15P OR AC-15XP)",Seal coat grade 4,316,55,1,,,200910,20101010,,,4047391.075,2004,
20160225,SM,19,19,US0082,782,0.992,786,1.451,ML EW,004605045,SEAL COAT,,SC,,"AGGR (TY-PB GR-4 OR TY-PL GR-4 SAC-A) | ASPH (AC-20-5TR) | ASPH (AC-10-2TR, AC-15P OR AC-15XP)",Seal coat grade 4,316,55,1,,,200811,20091010,,,4332386.815,2004,
20160225,SM,19,19,US0082,796,0.871,798,0.466,ML EW,004606074,RESURFACE EXISTING HIGHWAY,,OV,,"FULL-DEPTH REPAIR CPJR (8')",Concrete pavement,361,85,2,8,,201002,20100707,,,200000,2004,
20160225,SM,19,19,US0082,796,0.871,798,0.466,ML EW,004606074,RESURFACE EXISTING HIGHWAY,,OV,,UTBHMWC (MEMBRANE) | UTBHMWC (ASPHALT)(PG 76-22) | UTBHMWC (AGGREGATE)(TY C),Ultra-thin bonded wearing course UTBWC,3142,145,1,,,201002,20100707,2807.67,TON,498.3333333,2004,
20160225,SM,19,19,SH0008,210,0.112,210,1.165,ML NS,006101022,RESURFACE EXISTING 2-LANE HIGHWAY WITH ASPHALTIC CONCRETE,,OV,,PLACEMENT BONUS/PENALTY | PRODUCTION BONUS/PENALTY | D-GR HMA(QCQA) TY-D SAC-A PG70-22,Dense-graded TY-D,341,90,1,2,,201008,20110909,,,1864946,2004,
20160225,SM,19,19,SH0008,210,0.112,210,1.165,ML NS,006101022,RESURFACE EXISTING 2-LANE HIGHWAY WITH ASPHALTIC CONCRETE,,OV,,"PLANE ASPH CONC PAV (2')",Milling,354,95,2,2,,201008,20110909,,,38900.98,2004,
20160225,SM,19,34,SH0008,232,0.844,234,1.304,ML NS,006203035,RESURFACE EXISTING 2-LANE RURAL HIGHWAY,,OV,,"PLANE ASPH CONC PAV (0' TO 2')",Milling,354,65,2,2,,200402,20040707,,,60767.24,1993,
20160225,SM,19,34,SH0008,232,0.844,234,1.304,ML NS,006203035,RESURFACE EXISTING 2-LANE RURAL HIGHWAY,,OV,,"HOT MIX (TY D)(SURF)(PG 76-22) 2' | Fabric Underseal (0.2 Gal/SY) | HOT MIX (TY C)(BASE)(PG 76-22) 2'",Dense-graded HMA,3146,110,1,4,,200402,20040707,8932.59,TON,45.45,1993,
20160225,SM,19,155,US0059,260,0,266,1.594,ML,006205059,SEAL COAT,,SC,,AGGR (TY PB GR4 OR TY PL GR4) | ASPH (AC),Seal coat grade 4,316,340,1,,,200410,20051010,,,656341.28,1993,
20160225,SM,19,155,US0059,268,0.521,270,1.95,ML NS,006206050,REPAIR AND RESTORE SECTION ON 4-LANE DIVIDED HIGHWAY,,RER,,PLACEMENT BONUS/PENALTY | PRODUCTION BONUS/PENALTY | D-GR HMA(QCQA) TY-D SAC-A PG70-22,Dense-graded TY-D,341,70,1,2,,200903,20090909,,,2573547.5,2004,
20160225,SM,19,155,US0059,268,0.521,270,1.95,ML NS,006206050,REPAIR AND RESTORE SECTION ON 4-LANE DIVIDED HIGHWAY,,RER,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(9')",Flexible base,351,80,3,9,,200903,20090909,,,235273.5,2004,
20160225,SM,19,155,US0059,268,0.521,270,1.95,ML NS,006206050,REPAIR AND RESTORE SECTION ON 4-LANE DIVIDED HIGHWAY,,RER,,"PLANE ASPH CONC PAV (2')",Milling,354,85,2,2,,200903,20090909,303809,SY,0.873615,2004,
20160225,SM,19,183,US0059,304,0.364,310,0.255,ML,006303055,RESURFACE EXISTING 4-LANE DIVIDED HIGHWAY,,OV,,MICROSURFACING,Microsurfacing,350,65,1,,,200501,20050505,,,327900,2004,
20160225,SM,19,183,US0059,304,0.415,310,0.305,ML NS,006303057,RESTORE SECTION AND RESURFACE EXISTING HIGHWAY,,OV,,D-GR HMA(QCQA) TY-D PG70-22 | PLACEMENT BONUS/PENALTY | PRODUCTION BONUS/PENALTY | D-GR HMA(QCQA) TY-D SAC-A PG70-22,Dense-graded HMA,341,75,1,2,,201009,20110606,,,2774933.25,2004,
20160225,SM,19,183,US0059,304,0.415,310,0.305,ML NS,006303057,RESTORE SECTION AND RESURFACE EXISTING HIGHWAY,,OV,,"PLANE ASPH CONC PAV(0' TO 2') | PLANE ASPH CONC PAV (2')",Milling,354,85,3,2,,201009,20110606,28825,SY,2.3,2004,
20160225,SM,19,183,US0059,304,0.415,310,0.305,ML NS,006303057,RESTORE SECTION AND RESURFACE EXISTING HIGHWAY,,OV,,FABRIC | ASPH BINDER (AC-10 OR PG 64-22),Fabric underseal,356,95,2,,,201009,20110606,,,272262.04,2004,
20160225,SM,19,183,US0059,316,1.249,318,1.913,ML NS,006304058,OVERLAY EXISTING 4-LANE DIVIDED HIGHWAY,,OV,,"PLANE ASPH CONC PAV(0' TO 1') | PLANE ASPH CONC PAV(0' TO 2') | PLANE ASPH CONC PAV (2')",Milling,354,88,3,2,,201209,20130606,37180,SY,1.866666667,2004,PM
20160225,SM,19,183,US0059,316,1.249,318,1.913,ML NS,006304058,OVERLAY EXISTING 4-LANE DIVIDED HIGHWAY,,OV,,"PAV JT UNDERSEAL (12')",Fabric underseal,356,98,4,12,,201209,20130606,,,5324.94,2004,PM
20160225,SM,19,183,US0059,316,1.249,318,1.913,ML NS,006304058,OVERLAY EXISTING 4-LANE DIVIDED HIGHWAY,,OV,,"FULL-DTH REP (BR APPROACH SLAB)(9'-13')",Concrete pavement,361,100,1,9,,201209,20130606,,,6000,2004,PM
20160225,SM,19,183,US0059,318,1.913,320,1.051,ML NS,006304058,OVERLAY EXISTING 4-LANE DIVIDED HIGHWAY,,OV,,PLACEMENT BONUS/PENALTY | PRODUCTION BONUS/PENALTY | D-GR HMA(QCQA) TY-D SAC-A PG70-22,Dense-graded TY-D,3224,155,2,1.5,,201209,20130606,,,1260740,2004,PM
20160225,SM,19,183,US0059,320,1.06,324,3.02,ML NS,006305033,RESURFACE EXISTING 4-LANE HIGHWAY WITH ASPHALTIC CONCRETE,,OV,,PLACEMENT BONUS/PENALTY | PRODUCTION BONUS/PENALTY | D-GR HMA(QCQA) TY-D SAC-A PG70-22,Dense-graded TY-D,341,75,1,1.75,,200912,20100606,,,1899046.93,2004,
20160225,SM,19,183,US0059,320,1.06,324,3.02,ML NS,006305033,RESURFACE EXISTING 4-LANE HIGHWAY WITH ASPHALTIC CONCRETE,,OV,,"PLANE ASPH CONC PAV(0' TO 2')",Milling,354,80,2,2,,200912,20100606,,,16645,2004,
20160225,SM,19,183,US0059,300,0,304,0.363,ML,006310011,REHABILITATION OF EXISTING ROADWAY,,RER,,"CEMENT TREAT (EXIST MATL) (10') | CEMENT",Cement treated base,275,80,6,10,,200502,20050808,,,143090.46,2004,
20160225,SM,19,183,US0059,300,0,304,0.363,ML,006310011,REHABILITATION OF EXISTING ROADWAY,,RER,,PRIME COAT (MC-30),Prime coat,310,90,5,,,200502,20050808,,,7930,2004,
20160225,SM,19,183,US0059,300,0,304,0.363,ML,006310011,REHABILITATION OF EXISTING ROADWAY,,RER,,D-GR HMA(METH) TY-D PG70-22,Dense-graded TY-D,340,280,1,,,200502,20050808,,,33888.72,2004,
