dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160412,SM,14,246,IH0035,277,0.928,260,0.644,ML NS,001508129,"SPOT FULL DEPTH REPAIR, MILL & OV",,OV,,FOG SEAL (CMS-1P),Fog seal,315,80,4,,,200806,20090909,,,102600,2004,
20160412,SM,14,246,IH0035,277,0.928,260,0.644,ML NS,001508129,"SPOT FULL DEPTH REPAIR, MILL & OV",,OV,,AGGR(TY-D GR-5 SAC-B) | ASPH (HFRS-2),Seal coat grade 5,316,85,5,,,200806,20090909,,,325493.008,2004,
20160412,SM,14,246,IH0035,277,0.928,260,0.644,ML NS,001508129,"SPOT FULL DEPTH REPAIR, MILL & OV",,OV,,D-GR HMA(QCQA) TY-C PG70-22 | PLACEMENT BONUS/PENALTY | PRODUCTION BONUS/PENALTY,Dense-graded TY-C,341,95,3,2,,200806,20090909,,,805119.4,2004,
20160412,SM,14,246,IH0035,277,0.928,260,0.644,ML NS,001508129,"SPOT FULL DEPTH REPAIR, MILL & OV",,OV,,PFC (ASPHALT) PG76-22 | PFC (AGGREGATE)(PG76 MIX) SAC-A,Permeable friction course PFC,342,96,1,,,200806,20090909,4509,TON,102.71,2004,
20160412,SM,14,246,IH0035,277,0.928,260,0.644,ML NS,001508129,"SPOT FULL DEPTH REPAIR, MILL & OV",,OV,,PRODUCTION BONUS/PENALTY | PLACEMENT BONUS/PENALTY | STONE-MTRX-ASPH SMA-C SAC-A PG76-22,Stone matrix asphalt SMA-C,346,100,2,2,,200806,20090909,,,2303071.304,2004,
20160412,SM,14,246,IH0035,277,0.928,260,0.644,ML NS,001508129,"SPOT FULL DEPTH REPAIR, MILL & OV",,OV,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(12"") | FLEXIBLE PAVEMENT STRUCTURE REPAIR(4"") | FLEXIBLE PAVEMENT STRUCTURE REPAIR(2"")",Flexible base,351,105,7,4,,200806,20090909,32576.32,SY,30.70333333,2004,
20160412,SM,14,246,IH0035,277,0.928,260,0.644,ML NS,001508129,"SPOT FULL DEPTH REPAIR, MILL & OV",,OV,,"PLANE ASPH CONC PAV(0"" TO 2"")",Milling,354,120,6,2,,200806,20090909,,,240915.42,2004,
20160412,SM,14,246,IH0035,264,0.568,277,0.928,ML NS,001508131,UNDERSEAL AND OVERLAY,,OV,,AGGR(TY-D GR-5 SAC-B) | ASPH (AC-20-5TR),Seal coat grade 5,316,70,2,,,201007,20120909,,,243925,2004,MR
20160412,SM,14,246,IH0035,264,0.568,277,0.928,ML NS,001508131,UNDERSEAL AND OVERLAY,,OV,,D-GR HMA(QCQA) TY-D SAC-B PG64-22 | PRODUCTION BONUS/PENALTY,Dense-graded TY-D,341,78,1,1,,201007,20120909,,,529991.3,2004,MR
20160412,SM,14,246,IH0035,264,0.568,277,0.928,ML NS,001508131,UNDERSEAL AND OVERLAY,,OV,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(4"") | FLEXIBLE PAVEMENT STRUCTURE REPAIR(2"")",Flexible base,351,85,4,4,,201007,20120909,15262,SY,11,2004,MR
20160412,SM,14,246,IH0035,264,0.568,277,0.928,ML NS,001508131,UNDERSEAL AND OVERLAY,,OV,,"PLANE CONC PAV(0"" TO 2"") | PLANE ASPH CONC PAV(0"" TO 1"")",Milling,354,95,3,2,,201007,20120909,17068,SY,1.125,2004,MR
