dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160809,SM,20,146,US0090,870,1.146,872,0.243,ML EW,002803097,MILL AND INLAY EXISTING ROADWAY,,OV,,D-GR HMA(METH) TY-D PG70-22,Dense-graded TY-D,340,95,3,,,200605,20080606,,,147630,2004,
20160809,SM,20,146,US0090,870,1.146,872,0.243,ML EW,002803097,MILL AND INLAY EXISTING ROADWAY,,OV,,PRODUCTION BONUS/PENALTY | D-GR HMA(QCQA) TY-C SAC-A PG76-22 | PLACEMENT BONUS/PENALTY,Dense-graded TY-C,341,100,4,,,200605,20080606,,,3536451,2004,
20160809,SM,20,146,US0090,870,1.146,872,0.243,ML EW,002803097,MILL AND INLAY EXISTING ROADWAY,,OV,,PRODUCTION BONUS/PENALTY | STONE-MTRX-ASPH SMA-D SAC-A PG76-22 | PLACEMENT BONUS/PENALTY,Stone matrix asphalt SMA-D,346,105,1,,,200605,20080606,,,587585,2004,
20160809,SM,20,146,US0090,870,1.146,872,0.243,ML EW,002803097,MILL AND INLAY EXISTING ROADWAY,,OV,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(12') | FLEXIBLE PAVEMENT STRUCTURE REPAIR(10') | FLEXIBLE PAVEMENT STRUCTURE REPAIR(14')",Flexible base,351,110,6,14,,200605,20080606,10252.46,SY,53.125,2004,
20160809,SM,20,146,US0090,870,1.146,872,0.243,ML EW,002803097,MILL AND INLAY EXISTING ROADWAY,,OV,,"PLANE ASPH CONC PAV (2') | PLANE ASPH CONC PAV (3/4') | PLAN & TEXT ASPH CONC PAV(2' TO 6')",Milling,354,120,5,6,,200605,20080606,127797.3,SY,1.916666667,2004,
20160809,SM,20,146,US0090,870,1.146,872,0.243,ML EW,002803097,MILL AND INLAY EXISTING ROADWAY,,OV,,"FULL-DEPTH REPAIR CRCP (9')",Concrete pavement,361,130,2,9,,200605,20080606,,,78120,2004,
20160809,SM,20,146,US0090,864,0,870,1.164,ML EW,002803099,MILL AND OVERLAY EXISTING ROADWAY,,OV,,AGGR (TY-PB GR-4) | ASPH (AC-20-5TR),Seal coat grade 4,316,75,4,,,200703,20090303,,,1500972.2,2004,
20160809,SM,20,146,US0090,864,0,870,1.164,ML EW,002803099,MILL AND OVERLAY EXISTING ROADWAY,,OV,,D-GR HMA(METH) TY-D PG76-22 | D-GR HMA(METH) TY-C PG76-22,Dense-graded HMA,340,85,3,,,200703,20090303,28109,TON,72,2004,
20160809,SM,20,146,US0090,864,0,870,1.164,ML EW,002803099,MILL AND OVERLAY EXISTING ROADWAY,,OV,,PFC (ASPHALT) PG76-22 | PFC (AGGREGATE)(PG76 MIX) SAC-A,Permeable friction course PFC,342,95,1,1.25,,200703,20090303,42343,TON,275,2004,
20160809,SM,20,146,US0090,864,0,870,1.164,ML EW,002803099,MILL AND OVERLAY EXISTING ROADWAY,,OV,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(10')",Flexible base,351,105,6,10,,200703,20090303,,,14820,2004,
20160809,SM,20,146,US0090,864,0,870,1.164,ML EW,002803099,MILL AND OVERLAY EXISTING ROADWAY,,OV,,"PLANE ASPH CONC PAV (3') | PLANE ASPH CONC PAV (2') | PLANE ASPH CONC PAV(0' TO 4')",Milling,354,110,5,4,,200703,20090303,210293,SY,2.2,2004,
20160809,SM,20,146,US0090,864,0,870,1.164,ML EW,002803099,MILL AND OVERLAY EXISTING ROADWAY,,OV,,"FULL-DEPTH REPAIR CRCP (8') | FULL-DEPTH REPAIR CPJR (9') | FULL-DEPTH REPAIR CRCP (10') | FULL-DEPTH REPAIR CPJR (12') | FULL-DEPTH REPAIR CPJR (10')",Concrete pavement,361,125,2,9,,200703,20090303,5092.46,SY,147.4,2004,
20160809,SM,20,146,US0090,878,0.644,888,1.398,ML EW,002804066,REHABILITATE EXISTING ROADWAY,,RER,,EMBANK (ORD COMP)(TY C)(CL 3),Fill,132,65,7,,,200206,20030505,,,29070,1993,
20160809,SM,20,146,US0090,878,0.644,888,1.398,ML EW,002804066,REHABILITATE EXISTING ROADWAY,,RER,,ASPH (AC-15P OR CRS-2P) | AGGR (TY PB GR3),Seal coat grade 3,316,100,4,,,200206,20030505,,,129823,1993,
20160809,SM,20,146,US0090,878,0.644,888,1.398,ML EW,002804066,REHABILITATE EXISTING ROADWAY,,RER,,ASPH CONC (TY D) LVL-UP (PG 76-22S),Dense-graded TY-D,340,110,2,,,200206,20030505,,,92160,1993,
20160809,SM,20,146,US0090,878,0.644,888,1.398,ML EW,002804066,REHABILITATE EXISTING ROADWAY,,RER,,ASPH STAB BS (GR 4),Asphalt stabilized base,345,115,6,,,200206,20030505,,,55900,1993,
20160809,SM,20,146,US0090,878,0.644,888,1.398,ML EW,002804066,REHABILITATE EXISTING ROADWAY,,RER,,"PLAN ASPH CONC PAV (1.5 ')",Milling,354,120,5,1.5,,200206,20030505,,,121870.08,1993,
20160809,SM,20,146,US0090,878,0.644,888,1.398,ML EW,002804066,REHABILITATE EXISTING ROADWAY,,RER,,"REPAIR EXIST CONC PAV (9')",Concrete pavement,361,125,1,9,,200206,20030505,,,61640,1993,
20160809,SM,20,146,US0090,878,0.644,888,1.398,ML EW,002804066,REHABILITATE EXISTING ROADWAY,,RER,,HOT MIX(TY D)(SURF)(PG 76-22S),Dense-graded TY-D,3146,315,3,,,200206,20030505,,,596785,1993,
20160809,SM,20,146,US0090,878,0.573,888,1.415,ML EW,002804070,RESURFACE EXISTING ROADWAY,,OV,,MICROSURFACING,Microsurfacing,350,145,1,,,200708,20080707,,,3041465,2004,
20160809,SM,20,146,US0090,878,0.506,890,1.756,ML EW,002804072,MILL AND INLAY EXISTING ROADWAY,,OV,,AGGR(TY-PD GR-4 SAC-B) | ASPH (TIER I),Seal coat grade 4,316,70,4,,,201107,20130202,,,393427.3,2004,PM
20160809,SM,20,146,US0090,878,0.506,890,1.756,ML EW,002804072,MILL AND INLAY EXISTING ROADWAY,,OV,,D-GR HMA(METH) TY-D PG64-22,Dense-graded TY-D,340,77,3,,,201107,20130202,,,41300,2004,PM
