dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160809,SM,17,198,SH0006,554,1.682,556,0.592,ML NS,004906069,"OVERLAY CONSISTING OF PAVEMENT REPAIRS, A ONE COURSE SURFACE TREATMENT, AN HMA OVERLAY AND PAVEMENT MARKINGS & MARKERS",,OV,,AGGR (TY PD GR 4) | ASPH (AC-15-5TR),Seal coat grade 4,316,70,2,,,200301,20031010,,,150550.88,1993,
20160809,SM,17,198,SH0006,554,1.682,556,0.592,ML NS,004906069,"OVERLAY CONSISTING OF PAVEMENT REPAIRS, A ONE COURSE SURFACE TREATMENT, AN HMA OVERLAY AND PAVEMENT MARKINGS & MARKERS",,OV,,"REPAIR EXIST FLEX PAV STRUCT (7')",Flexible base,351,80,4,7,,200301,20031010,9108,SY,20.66,1993,
20160809,SM,17,198,SH0006,554,1.682,556,0.592,ML NS,004906069,"OVERLAY CONSISTING OF PAVEMENT REPAIRS, A ONE COURSE SURFACE TREATMENT, AN HMA OVERLAY AND PAVEMENT MARKINGS & MARKERS",,OV,,"PLAN ASPH CONC PAV (7 ') | PLANE ASPH CONC PAV (0' TO 3')",Milling,354,85,3,7,,200301,20031010,4233,SY,3.725,1993,
20160809,SM,17,198,SH0006,554,1.682,556,0.592,ML NS,004906069,"OVERLAY CONSISTING OF PAVEMENT REPAIRS, A ONE COURSE SURFACE TREATMENT, AN HMA OVERLAY AND PAVEMENT MARKINGS & MARKERS",,OV,,HOT MIX (TY C)(PG 64-22) | HOT MIX (TY CMHB-C)(PG 64-22) | HOT MIX (TY D)(LEVEL-UP)(PG64-22),Dense-graded HMA,3146,260,1,,,200301,20031010,34137,TON,30.93333333,1993,
20160809,SM,17,198,SH0006,550,1.476,554,1.663,ML NS,004906071,SEAL COAT CONSISTING OF A ONE COURSE SURFACE TREATMENT AND PAVEMENT MARKINGS AND MARKERS,,SC,,"ASPH (AC-20-5TR) | AGGR (TY PB, GR 4)",Seal coat grade 4,316,110,1,,,200311,20040909,,,861495.77,1993,
20160809,SM,17,198,SH0006,542,0.514,542,1.632,ML NS,004906072,"OVERLAY CONSISTING OF A ONE COURSE SURFACE TREATMENT, AN HMA OVERLAY AND PAVEMENT MARKINGS AND MARKERS",,OV,,ASPH (AC-20-5TR) | AGGR (TY PB GR4 OR TY PL GR4),Seal coat grade 4,316,85,2,,,200410,20051212,,,52482,1993,
20160809,SM,17,198,SH0006,542,0.514,542,1.632,ML NS,004906072,"OVERLAY CONSISTING OF A ONE COURSE SURFACE TREATMENT, AN HMA OVERLAY AND PAVEMENT MARKINGS AND MARKERS",,OV,,HOT MIX (TY D) | HOT MIX (TY C),Dense-graded HMA,3146,210,1,,,200410,20051212,7911,TON,104.5,1993,
20160809,SM,17,198,US0079,490,0.903,492,0.736,ML EW,004907057,"REHABILITATE EXISTING ROAD CONSISTING OF MILLING, SURFACE TREATMENT, HMA OVERLAY AND PAVEMENT MARKINGS AND MARKERS",,RER,,"REMOVING STAB BASE AND ASPH PAV (6')",Milling,105,320,4,6,,201008,20120404,,,18499,2004,
20160809,SM,17,198,US0079,490,0.903,492,0.736,ML EW,004907057,"REHABILITATE EXISTING ROAD CONSISTING OF MILLING, SURFACE TREATMENT, HMA OVERLAY AND PAVEMENT MARKINGS AND MARKERS",,RER,,SUBGRADE WIDENING (ORD COMP),Subgrade,112,330,7,,,201008,20120404,,,11525,2004,
20160809,SM,17,198,US0079,490,0.903,492,0.736,ML EW,004907057,"REHABILITATE EXISTING ROAD CONSISTING OF MILLING, SURFACE TREATMENT, HMA OVERLAY AND PAVEMENT MARKINGS AND MARKERS",,RER,,EMBANKMENT (FINAL)(DENS CONT)(TY C),Fill,132,340,6,,,201008,20120404,,,7230,2004,
20160809,SM,17,198,US0079,490,0.903,492,0.736,ML EW,004907057,"REHABILITATE EXISTING ROAD CONSISTING OF MILLING, SURFACE TREATMENT, HMA OVERLAY AND PAVEMENT MARKINGS AND MARKERS",,RER,,PRIME COAT (MC-30),Prime coat,310,380,8,,,201008,20120404,,,2702,2004,
20160809,SM,17,198,US0079,490,0.903,492,0.736,ML EW,004907057,"REHABILITATE EXISTING ROAD CONSISTING OF MILLING, SURFACE TREATMENT, HMA OVERLAY AND PAVEMENT MARKINGS AND MARKERS",,RER,,D-GR HMA(METH) TY-B PG64-22,Dense-graded TY-B,340,82,2,,,201008,20120404,,,9960,2004,
20160809,SM,17,198,US0079,490,0.903,492,0.736,ML EW,004907057,"REHABILITATE EXISTING ROAD CONSISTING OF MILLING, SURFACE TREATMENT, HMA OVERLAY AND PAVEMENT MARKINGS AND MARKERS",,RER,,D-GR HMA(QCQA) TY-B PG64-22,Dense-graded TY-B,341,390,3,,,201008,20120404,,,57505,2004,
