dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160727,SM,25,242,US0083,90,0.557,98,0.743,ML NS,003008033,SEAL COAT,,SC,,"AGGR TYPB GR4,TY PB GR4(MOD)OR TY PLGR4 | ASPH (TIER I)",Seal coat grade 4,316,70,1,,,201309,20140808,,,260268.32,2004,LR
20160727,SM,25,242,US0083,98,0.744,102,1.767,ML,003009037,REHABILITATION OF ROADWAY/ADA,,RER,,SUBGRADE WIDENING (DENS CONT),Subgrade,112,170,7,,,200608,20080202,,,15000,2004,
20160727,SM,25,242,US0083,98,0.744,102,1.767,ML,003009037,REHABILITATION OF ROADWAY/ADA,,RER,,EMBANKMENT (FINAL)(DENS CONT)(TY D) | EMBANKMENT (FINAL)(DENS CONT)(TY B),Fill,132,175,6,,,200608,20080202,8880.44,CY,22.5,2004,
20160727,SM,25,242,US0083,98,0.744,102,1.767,ML,003009037,REHABILITATION OF ROADWAY/ADA,,RER,,"REWORK BS MTL (TY C)(0'-7')(DC) | RWRK BS MTL (TY C)(4'-10')(DENS CONT)",Flexible base,251,225,4,7,,200608,20080202,50775,SY,4.5,2004,
20160727,SM,25,242,US0083,98,0.744,102,1.767,ML,003009037,REHABILITATION OF ROADWAY/ADA,,RER,,"LIME (HYDRATED LIME (DRY)) | LIME TRT (EXIST MATL)(9')",Lime treated base,260,235,5,9,,200608,20080202,,,87708,2004,
20160727,SM,25,242,US0083,98,0.744,102,1.767,ML,003009037,REHABILITATION OF ROADWAY/ADA,,RER,,PRIME COAT (MC-30),Prime coat,310,245,8,,,200608,20080202,,,70324,2004,
20160727,SM,25,242,US0083,98,0.744,102,1.767,ML,003009037,REHABILITATION OF ROADWAY/ADA,,RER,,EMULS ASPH (EROSN CONT)(MS-2),Prime coat,314,250,9,,,200608,20080202,,,3084,2004,
20160727,SM,25,242,US0083,98,0.744,102,1.767,ML,003009037,REHABILITATION OF ROADWAY/ADA,,RER,,D-GR HMA(QCQA) TY-D SAC-A PG70-28 | PRODUCTION BONUS/PENALTY | PLACEMENT BONUS/PENALTY | D-GR HMA(QCQA) TY-B PG70-28,Dense-graded HMA,341,255,2,,,200608,20080202,,,6757107.2,2004,
20160727,SM,25,242,US0083,98,0.744,102,1.767,ML,003009037,REHABILITATION OF ROADWAY/ADA,,RER,,"PLANE ASPH CONC PAV (6') | PLANE ASPH CONC PAV (2 1/2'-3') | PLANE ASPH CONC PAV (3') | PLANE ASPH CONC PAV (3'-3 1/2') | PLANE ASPH CONC PAV (2')",Milling,354,265,3,6,,200608,20080202,123084,SY,2.12,2004,
20160727,SM,25,242,US0083,98,0.744,102,1.767,ML,003009037,REHABILITATION OF ROADWAY/ADA,,RER,,"CONC PVMT (CONT REINF-CRCP)(8')",Concrete pavement,360,290,1,8,,200608,20080202,,,505400,2004,
20160727,SM,25,242,US0083,102,1.767,108,1.74,ML,003009038,REHABILITATION OF ROADWAY,,RER,,EMBANKMENT (FINAL)(ORD COMP)(TY D),Fill,132,50,4,,,200612,20070808,,,18900,2004,
20160727,SM,25,242,US0083,102,1.767,108,1.74,ML,003009038,REHABILITATION OF ROADWAY,,RER,,"LIME TRT (EXST MATL) (12') | LIME (QUICKLIME (DRY))",Lime treated base,260,100,3,12,,200612,20070808,,,29280,2004,
20160727,SM,25,242,US0083,102,1.767,108,1.74,ML,003009038,REHABILITATION OF ROADWAY,,RER,,EMULS ASPH (EROSN CONT)(MS-2),Prime coat,314,110,5,,,200612,20070808,,,38388.6,2004,
20160727,SM,25,242,US0083,102,1.767,108,1.74,ML,003009038,REHABILITATION OF ROADWAY,,RER,,D-GR HMA(QCQA) TY-D PG70-28 | PLACEMENT BONUS/PENALTY | PRODUCTION BONUS/PENALTY | D-GR HMA(QCQA) TY-B PG70-28,Dense-graded HMA,341,115,1,,,200612,20070808,,,4184098.06,2004,
20160727,SM,25,242,US0083,102,1.767,108,1.74,ML,003009038,REHABILITATION OF ROADWAY,,RER,,"PLANE ASPH CONC PAV(0' TO 1') | PLANE ASPH CONC PAV(0' TO 4')",Milling,354,125,2,4,,200612,20070808,80963,SY,0.99,2004,
20160727,SM,25,242,US0083,110,0.479,114,0.639,ML NS,003009040,REHAB AND WIDEN,,RER,,EMBANKMENT (FINAL)(ORD COMP)(TY B),Fill,132,70,6,,,200706,20080808,,,3200,2004,
20160727,SM,25,242,US0083,110,0.479,114,0.639,ML NS,003009040,REHAB AND WIDEN,,RER,,"REWORK BS MTL (TY C)(4')(ORD COMP)",Flexible base,251,100,4,4,,200706,20080808,,,6904,2004,
20160727,SM,25,242,US0083,110,0.479,114,0.639,ML NS,003009040,REHAB AND WIDEN,,RER,,"LIME TRT (EXST MATL) (12') | LIME (QUICKLIME (DRY))",Lime treated base,260,105,5,12,,200706,20080808,,,35125,2004,
20160727,SM,25,242,US0083,110,0.479,114,0.639,ML NS,003009040,REHAB AND WIDEN,,RER,,PRIME COAT (MC-30),Prime coat,310,115,7,,,200706,20080808,,,2072,2004,
20160727,SM,25,242,US0083,110,0.479,114,0.639,ML NS,003009040,REHAB AND WIDEN,,RER,,EMULS ASPH (EROSN CONT)(CSS-1H),Prime coat,314,120,8,,,200706,20080808,,,21014.5,2004,
20160727,SM,25,242,US0083,110,0.479,114,0.639,ML NS,003009040,REHAB AND WIDEN,,RER,,D-GR HMA(QCQA) TY-D PG70-28 | PLACEMENT BONUS/PENALTY | PRODUCTION BONUS/PENALTY | D-GR HMA(QCQA) TY-B PG70-28,Dense-graded HMA,341,125,2,4,,200706,20080808,,,1870281.25,2004,
20160727,SM,25,242,US0083,110,0.479,114,0.639,ML NS,003009040,REHAB AND WIDEN,,RER,,"PLANE ASPH CONC PAV (6') | PLANE ASPH CONC PAV(0' TO 2') | PLANE ASPH CONC PAV (4') | PLANE ASPH CONC PAV (5') | PLANE ASPH CONC PAV (1' TO 4') | PLANE ASPH CONC PAV (2')",Milling,354,140,3,6,,200706,20080808,70691,SY,3.65,2004,
20160727,SM,25,242,US0083,110,0.479,114,0.639,ML NS,003009040,REHAB AND WIDEN,,RER,,"CONC PVMT (JOINTED-CPCD)(8')(CL HES)",Concrete pavement,360,170,1,8,,200706,20080808,,,61037,2004,
20160727,SM,25,242,US0083,114,0.697,114,0.977,ML NS,003009044,"MILL, SURFACE TREATMENT & HOTMIX",,RER,,"PLANE ASPH CONC PAV (3')",Milling,354,90,2,3,,201203,20130101,,,11209.8,2004,LR
20160727,SM,25,242,US0083,114,0.697,114,0.977,ML NS,003009044,"MILL, SURFACE TREATMENT & HOTMIX",,RER,,PRODUCTION BONUS/PENALTY | PLACEMENT BONUS/PENALTY | D-GR HMA(QCQA) TY-D SAC-A PG 76-28,Dense-graded TY-D,3224,160,1,3,,201203,20130101,,,172217.2,2004,LR
20160727,SM,25,242,US0083,98,0.743,114,0.318,ML NS,003009045,SEAL COAT,,SC,,"AGGR TYPB GR4,TY PB GR4(MOD)OR TY PLGR4 | ASPH (TIER I)",Seal coat grade 4,316,355,1,,,201309,20140808,,,546807.32,2004,LR
20160727,SM,25,242,US0083,114,0.978,116,0.978,ML NS,003101020,"MILL, SURFACE TREAMENT & ACP",,RER,,"PLANE ASPH CONC PAV (3') | PLANE ASPH CONC PAV (2')",Milling,354,370,2,3,,201203,20130101,70475,SY,1,2004,MR
20160727,SM,25,242,US0083,114,0.978,116,0.978,ML NS,003101020,"MILL, SURFACE TREAMENT & ACP",,RER,,PRODUCTION BONUS/PENALTY | PLACEMENT BONUS/PENALTY | D-GR HMA(QCQA) TY-D SAC-A PG 76-28,Dense-graded TY-D,3224,440,1,3,,201203,20130101,,,1136518.8,2004,MR
20160727,SM,25,44,US0083,116,2.007,124,1.279,ML NS,003102027,FY 2013 DISTRICT WIDE SEALCOAT,,SC,,"AGGR TYPB GR4,TY PB GR4(MOD)OR TY PLGR4 | ASPH (TIER II)",Seal coat grade 4,316,265,1,,,201209,20130909,,,215027.52,2004,PM
20160727,SM,25,44,US0083,128,1.778,134,0.415,ML NS,003103038,2012 DISTRICTWIDE SEALCOAT,,SC,,"AGGR TYPB GR4,TY PB GR4(MOD)OR TY PLGR4 | ASPH (TIER II)",Seal coat grade 4,316,265,1,,,201109,20120909,,,83788.435,2004,PM
20160727,SM,25,44,US0083,124,1.279,128,1.869,ML NS,003103039,FY 2013 DISTRICT WIDE SEALCOAT,,SC,,"AGGR TYPB GR4,TY PB GR4(MOD)OR TY PLGR4 | ASPH (TIER II)",Seal coat grade 4,316,445,1,,,201209,20130909,,,142838.64,2004,PM
20160727,SM,25,44,US0083,136,1.875,140,1.572,ML,003104037,REHABILITATION OF EXISTING ROADWAY,,RER,,"LIME (TY C)(DRY) | LIME TREAT SUBGR (DC)(9 ')",Lime treated base,260,120,5,9,,200407,20060505,,,6127.5,1993,
20160727,SM,25,44,US0083,136,1.875,140,1.572,ML,003104037,REHABILITATION OF EXISTING ROADWAY,,RER,,ASPH MATRL (MC-30),Prime coat,310,130,6,,,200407,20060505,,,17513.75,1993,
20160727,SM,25,44,US0083,136,1.875,140,1.572,ML,003104037,REHABILITATION OF EXISTING ROADWAY,,RER,,EMULS ASPH (MS-2),Fog seal,314,135,3,,,200407,20060505,,,3643.9,1993,
20160727,SM,25,44,US0083,136,1.875,140,1.572,ML,003104037,REHABILITATION OF EXISTING ROADWAY,,RER,,"PLANE ASPH CONC PAV (0' TO 3') | PLANE ASPH CONC PAV (0' TO 2') | PLANE ASPH CONC PAV (1 1/2'-5')",Milling,354,140,4,5,,200407,20060505,55753,SY,1.783333333,1993,
