dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160727,SM,16,149,IH0037,72,0.807,83,0.913,ML NS,007307059,MILL AND OVERLAY ENTRANCE/EXIT RAMPS,,OV,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(6"")",Flexible base,351,60,1,6,,201303,20130909,,,180585.47,2004,MR
20160727,SM,16,149,UA0281,606,0,612,1.079,ML,007314005,SEAL COAT ROADWAY,,SC,,AGGR (TY PE GR 4 MOD) | ASPH (AC-15P) | AGGR (TY PE)(GR 3 MOD),Seal coat 2 CR,316,270,1,,,200210,20030808,,,3108412.43,1993,
20160727,SM,16,149,UA0281,606,0,612,1.079,ML NS,007314006,SEAL COAT ROADWAY (2010 DIST. LOW CONTROL SEAL COAT PROJCET),,SC,,AGGR (TY-PE GR-3S OR TY-PE GR-3) SAC-B | ASPH (AC-10-2TR OR AC-15P),Seal coat grade 3,316,60,1,,,200911,20101010,,,258094.76,2004,
20160727,SM,16,149,IH0037,57,0.398,69,0.205,ML,007401043,MICRO SEAL/PFC,,SC,,"AGGR (TY PE GR 4 OR TY PE GR 4(MOD)) | ASP(AC-15P,AC-15-5TR,HFRS-2P OR CRS-2P)",Seal coat grade 4,316,100,1,,,200311,20050808,,,917728,1993,
20160727,SM,16,149,IH0037,57,0.398,69,0.205,ML,007401043,MICRO SEAL/PFC,,SC,,"PLANE ASPH CONC PAV (1"") | PLAN ASPH CONC PAV (1.5 "") | PLANE ASPH CONC PAV (0"" TO 1 1/2 "") | PLANE ASPH CONC PAV (O"" TO 1"")",Milling,354,110,2,1.5,,200311,20050808,88060,SY,0.57,1993,
20160727,SM,16,149,IH0037,57,0.397,72,0.807,ML NS,007401047,MILL AND OVERLAY ENTRANCE/EXIT RAMPS,,OV,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(6"")",Flexible base,351,255,1,6,,201303,20130909,,,61921.14,2004,MR
20160727,SM,16,149,IH0037,39,0.609,57,0.398,ML NS,007402066,OVERLAY EXISTING ROADWAY (SOUTHBOUND LANES ONLY),,OV,,"AGGR(TY PB GR 4 OR TY PB GR 4S)SAC-B | ASPH (AC-5, AC-10, CRS-2, OR HFRS-2)",Seal coat grade 4,316,380,2,,,200901,20090707,,,485545.6,2004,
20160727,SM,16,149,IH0037,39,0.609,57,0.398,ML NS,007402066,OVERLAY EXISTING ROADWAY (SOUTHBOUND LANES ONLY),,OV,,PLACEMENT BONUS/PENALTY | PRODUCTION BONUS/PENALTY | D-GR HMA(QCQA) TY-C SAC-B PG76-22,Dense-graded TY-C,341,390,1,2,,200901,20090707,,,2425842,2004,
20160727,SM,16,149,IH0037,39,0.609,57,0.398,ML NS,007402066,OVERLAY EXISTING ROADWAY (SOUTHBOUND LANES ONLY),,OV,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(8"")",Flexible base,351,395,4,8,,200901,20090707,,,89376,2004,
20160727,SM,16,149,IH0037,39,0.609,57,0.398,ML NS,007402066,OVERLAY EXISTING ROADWAY (SOUTHBOUND LANES ONLY),,OV,,"PLANE ASPH CONC PAV (2"")",Milling,354,400,3,2,,200901,20090707,,,224615.05,2004,
