dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160713,SM,18,57,SH0180,638,,644,0.813,ML EW,000808070,"PLANING, FULL DEPTH REPAIR AND OVERLAY",,OV,,PLACEMENT BONUS/PENALTY | D-GR HMA(QCQA) TY-C SAC-B PG70-22 | PRODUCTION BONUS/PENALTY,Dense-graded TY-C,341,70,2,2,,201102,20121212,,,1616102,2004,LR
20160713,SM,18,57,SH0180,638,,644,0.813,ML EW,000808070,"PLANING, FULL DEPTH REPAIR AND OVERLAY",,OV,,"PLANE ASPH CONC PAV (2"")",Milling,354,76,3,2,,201102,20121212,,,282847.18,2004,LR
20160713,SM,18,57,SH0180,638,,644,0.813,ML EW,000808070,"PLANING, FULL DEPTH REPAIR AND OVERLAY",,OV,,"FULL-DEPTH REPAIR CRCP (9"") | FULL-DTH REP (BR APPROACH SLAB)(9""-13"")",Concrete pavement,361,80,1,9,,201102,20121212,5919,SY,151.5,2004,LR
20160713,SM,18,57,SH0078,280,0.038,276,,ML,000902057,FULL-DEPTH CONCRETE REPAIR,,RER,,"FULL-DEPTH REPAIR CPCD (9"")",Concrete pavement,361,55,1,9,,200609,20070808,,,1135442,2004,
20160713,SM,18,57,SH0078,276,1.009,280,0.271,ML NS,000902058,"ACP OVERLAY,CONCRETE FULL DEPTH REPAIR AND PAVEMENT MARKINGS",,OV,,PLACEMENT BONUS/PENALTY | PRODUCTION BONUS/PENALTY | D-GR HMA(QCQA) TY-C PG70-22,Dense-graded TY-C,341,61,2,2,,200908,20100808,,,1008588.5,2004,
20160713,SM,18,57,SH0078,276,1.009,280,0.271,ML NS,000902058,"ACP OVERLAY,CONCRETE FULL DEPTH REPAIR AND PAVEMENT MARKINGS",,OV,,"PLANE ASPH CONC PAV(0"" TO 2"")",Milling,354,65,3,2,,200908,20100808,,,13284,2004,
20160713,SM,18,57,SH0078,276,1.009,280,0.271,ML NS,000902058,"ACP OVERLAY,CONCRETE FULL DEPTH REPAIR AND PAVEMENT MARKINGS",,OV,,"FULL-DEPTH REPAIR CPCD (9"")",Concrete pavement,361,70,1,9,,200908,20100808,,,216936,2004,
20160713,SM,18,57,SH0078,282,1.102,280,0.078,ML NS,000902059,"FDR,MILL,ACP OVERLAY AND PVMNT MARKINGS",,OV,,"PLANE ASPH CONC PAV(0"" TO 2"") | PLANE ASHP CONC PAV (2"" TO 9"")",Milling,354,70,3,9,,201301,20131212,68437,SY,3.18,2004,PM
20160713,SM,18,57,SH0078,282,1.102,280,0.078,ML NS,000902059,"FDR,MILL,ACP OVERLAY AND PVMNT MARKINGS",,OV,,"FULL-DEPTH REPAIR CPCD (9"")",Concrete pavement,361,75,1,9,,201301,20131212,,,394500.24,2004,PM
20160713,SM,18,57,SH0078,282,1.102,280,0.078,ML NS,000902059,"FDR,MILL,ACP OVERLAY AND PVMNT MARKINGS",,OV,,PLACEMENT BONUS/PENALTY | PRODUCTION BONUS/PENALTY | D-GR HMA(QCQA) TY-C SAC-B PG70-22 | D-GR HMA(QCQA) TY-C SAC-B PG64-22,Dense-graded HMA,3224,180,2,2,,201301,20131212,,,732368,2004,PM
