dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160726,SM,24,72,SH0020,308,-0.005,318,1.179,ML EW,000101054,MILL AND INLAY,,RER,,"PLAN & TEXT ASPH CONC PAV(0"" TO 2"")",Milling,354,70,2,2,,201209,20130101,,,289668.44,2004,MR
20160726,SM,24,72,SH0020,308,-0.005,318,1.179,ML EW,000101054,MILL AND INLAY,,RER,,PRODUCTION BONUS/PENALTY | D-GR HMA(QCQA) TY-C SAC-A PG70-22 | PLACEMENT BONUS/PENALTY,Dense-graded TY-C,3224,175,1,2,,201209,20130101,,,2907919.59,2004,MR
20160726,SM,24,72,SH0020,318,1.738,324,1.838,ML,000102045,"REPLACE & REWORK BASE, NEW SURFACING",,RER,,PRODUCTION BONUS/PENALTY | D-GR HMA(QCQA) TY-C SAC-A PG76-22 | PLACEMENT BONUS/PENALTY,Dense-graded TY-C,341,130,1,,,200509,20070808,,,2188394.32,2004,
20160726,SM,24,72,SH0020,318,1.738,324,1.838,ML,000102045,"REPLACE & REWORK BASE, NEW SURFACING",,RER,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(5"") | FLEXIBLE PAVEMENT STRUCTURE REPAIR(12"")",Flexible base,351,135,3,5,,200509,20070808,15490,SY,45.83333333,2004,
20160726,SM,24,72,SH0020,318,1.738,324,1.838,ML,000102045,"REPLACE & REWORK BASE, NEW SURFACING",,RER,,"PLAN & TEXT ASPH CONC PAV(0"" TO 2"") | PLAN & TEXT ASPH CONC PAV(2"" TO 4"")",Milling,354,140,2,4,,200509,20070808,384710.29,SY,1.25,2004,
20160726,SM,24,72,SH0020,326,0.411,326,0.479,ML NS,000102049,REPAIR AND OVERLAY,,OV,,STONE-MTRX-ASPH SMAR-F SAC-A | PRODUCTION BONUS/PENALTY | PLACEMENT BONUS/PENALTY,Stone matrix asphalt SMAR-F,346,65,1,2,,200808,20100202,,,40317.05,2004,
20160726,SM,24,72,SH0020,326,0.411,326,0.479,ML NS,000102049,REPAIR AND OVERLAY,,OV,,"PLAN & TEXT ASPH CONC PAV(2"" TO 4"")",Milling,354,75,2,4,,200808,20100202,,,6486,2004,
20160726,SM,24,72,SH0020,328,1.889,330,0.927,ML,000103033,INTERSECTION IMPROVEMENTS AND REHABILITATION,,RER,,EMBANK (DENS CONT)(TY B)(CL 3),Fill,132,75,9,,,200207,20040909,,,14621.6,1993,
20160726,SM,24,72,SH0020,328,1.889,330,0.927,ML,000103033,INTERSECTION IMPROVEMENTS AND REHABILITATION,,RER,,"REWRKING BS MATL (DC)(TY D CL 2)(6"")",Flexible base,251,325,7,6,,200207,20040909,,,1925.36,1993,
20160726,SM,24,72,SH0020,328,1.889,330,0.927,ML,000103033,INTERSECTION IMPROVEMENTS AND REHABILITATION,,RER,,"CEM TRT (EXIST MATL)(STRNGT-O)(12"")(DC) | CEMENT",Cement treated base,275,90,8,12,,200207,20040909,,,112482.84,1993,
20160726,SM,24,72,SH0020,328,1.889,330,0.927,ML,000103033,INTERSECTION IMPROVEMENTS AND REHABILITATION,,RER,,"SALV, HAUL & STKPL RCLM PAV (VAR DPTH)",Milling,305,270,5,,,200207,20040909,47974.56,SY,1.5,1993,
20160726,SM,24,72,SH0020,328,1.889,330,0.927,ML,000103033,INTERSECTION IMPROVEMENTS AND REHABILITATION,,RER,,EMULS ASPH (CSS-1H),Fog seal,314,100,4,,,200207,20040909,,,24420,1993,
