dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160721,SM,2,182,SH0016,306,0.242,296,-1.075,ML NS,000708026,"CEMENT TREAT EXISTING BASE ON NB LANE AND SHOULDER, SEAL COAT AND 2"" HMAC OVERLAY ENTIRE ROADWAY",,RER,,FL BS (RDWY DEL)(TY A GR 4)(FNL POS),Flexible base Gr 4,247,55,4,,,200909,20101010,,,40625,2004,
20160721,SM,2,182,SH0016,306,0.242,296,-1.075,ML NS,000708026,"CEMENT TREAT EXISTING BASE ON NB LANE AND SHOULDER, SEAL COAT AND 2"" HMAC OVERLAY ENTIRE ROADWAY",,RER,,"CEMENT | CEMENT TREAT(EXIST MATL)(8"")",Cement treated base,275,60,5,8,,200909,20101010,,,370792.05,2004,
20160721,SM,2,182,SH0016,306,0.242,296,-1.075,ML NS,000708026,"CEMENT TREAT EXISTING BASE ON NB LANE AND SHOULDER, SEAL COAT AND 2"" HMAC OVERLAY ENTIRE ROADWAY",,RER,,PRIME COAT (AE-P),Prime coat,310,70,3,,,200909,20101010,,,94924.5,2004,
20160721,SM,2,182,SH0016,306,0.242,296,-1.075,ML NS,000708026,"CEMENT TREAT EXISTING BASE ON NB LANE AND SHOULDER, SEAL COAT AND 2"" HMAC OVERLAY ENTIRE ROADWAY",,RER,,AGGR(TY-PB GR-3 SAC-B) | ASPH(AC-20-5TR OR AC-20XP) | AGGR(TY-PB GR-4 SAC-B),Seal coat 2 CR,316,75,2,,,200909,20101010,,,719710,2004,
20160721,SM,2,182,SH0016,306,0.242,296,-1.075,ML NS,000708026,"CEMENT TREAT EXISTING BASE ON NB LANE AND SHOULDER, SEAL COAT AND 2"" HMAC OVERLAY ENTIRE ROADWAY",,RER,,D-GR HMA(METH) TY-D PG64-22,Dense-graded TY-D,340,90,1,,,200909,20101010,,,71000,2004,
20160721,SM,2,182,US0180,512,1.033,524,1.294,ML,000710052,SEAL COAT FY 05,,SC,,"AGGR (TY PB, GR 4) | AGGR (TY PL, GR4) | ASPH (AC-15XP) | AGGR (TY PB GR3) | LOAD, HAUL & DISTR AGGR | AGGR (TY B, GR3) | ASPH (CRS-1P OR CRS-2P) | AGGR (TY PL GR3)",Seal coat 2 CR,316,63,1,,,200410,20051010,,,1943028,1993,
20160721,SM,2,182,US0180,516,0.182,522,1.623,ML EW,000710054,OVERLAY,,OV,,PRODUCTION BONUS/PENALTY | PLACEMENT BONUS/PENALTY | D-GR HMA(QCQA) TY-D SAC-B PG70-22,Dense-graded TY-D,341,60,1,2,,201008,20110404,,,1357073.84,2004,
20160721,SM,2,182,US0180,516,0.182,522,1.623,ML EW,000710054,OVERLAY,,OV,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(10"")",Flexible base,351,65,3,10,,201008,20110404,,,17500,2004,
20160721,SM,2,182,US0180,516,0.182,522,1.623,ML EW,000710054,OVERLAY,,OV,,"PLANE ASPH CONC PAV (2"")",Milling,354,70,2,2,,201008,20110404,,,89073.32,2004,
20160721,SM,2,182,US0180,512,1.019,516,0.182,ML EW,000710055,MILL AND OVERLAY,,OV,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(10"")",Flexible base,351,60,3,10,,201302,20130707,,,16000,2004,PM
20160721,SM,2,182,US0180,512,1.019,516,0.182,ML EW,000710055,MILL AND OVERLAY,,OV,,"PLANE ASPH CONC PAV (1"" TO 3"")",Milling,354,65,2,3,,201302,20130707,,,44776,2004,PM
20160721,SM,2,182,US0180,512,1.019,516,0.182,ML EW,000710055,MILL AND OVERLAY,,OV,,PRODUCTION BONUS/PENALTY | PLACEMENT BONUS/PENALTY | D-GR HMA(QCQA) TY-D SAC-B PG70-22,Dense-graded TY-D,3224,135,1,2,,201302,20130707,,,777720,2004,PM
20160721,SM,2,182,US0180,522,1.791,524,1.467,ML EW,000710056,MILL AND HMAC OVERLAY,,OV,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(10"")",Flexible base,351,65,3,10,,201202,20120505,,,3000,2004,
20160721,SM,2,182,US0180,522,1.791,524,1.467,ML EW,000710056,MILL AND HMAC OVERLAY,,OV,,"PLANE ASPH CONC PAV (1"" TO 3"")",Milling,354,70,2,3,,201202,20120505,,,43213,2004,
