dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160712,SM,12,80,UA0090,660,0.632,664,0.513,ML,002706050,"MILLING, ADDING SHOULDERS AND ACP OVERLAY",,RER,,ASPH STAB BS (GR 4A),Asphalt stabilized base,345,125,6,,,200312,20040909,,,771840,1993,
20160712,SM,12,80,UA0090,660,0.632,664,0.513,ML,002706050,"MILLING, ADDING SHOULDERS AND ACP OVERLAY",,RER,,HOT MIX(TY D)(LEV-UP)(PG70-22)(L OR TR) | HOT MIX(TY D)(SURF)(PG 70-22)(L OR TR),Dense-graded HMA,3146,420,1,,,200312,20040909,14265,TON,35,1993,
20160712,SM,12,80,UA0090,660,0.632,664,0.513,ML,002706050,"MILLING, ADDING SHOULDERS AND ACP OVERLAY",,RER,,EMBANK (DENS CONT)(TY C)(CL 3),Fill,132,80,7,,,200312,20040909,,,10312,1993,
20160712,SM,12,80,UA0090,660,0.632,664,0.513,ML,002706050,"MILLING, ADDING SHOULDERS AND ACP OVERLAY",,RER,,"REPAIR EXIST FLEX PAV STRUCT (10"")",Flexible base,351,130,5,10,,200312,20040909,,,9000,1993,
20160712,SM,12,80,UA0090,660,0.632,664,0.513,ML,002706050,"MILLING, ADDING SHOULDERS AND ACP OVERLAY",,RER,,FL BS (COMPL IN PLAC)(TY D GR 6A CL 2),Flexible base Gr 6,247,110,4,,,200312,20040909,,,2160,1993,
20160712,SM,12,80,UA0090,660,0.632,664,0.513,ML,002706050,"MILLING, ADDING SHOULDERS AND ACP OVERLAY",,RER,,"SALV, HAUL & STKPL RCL APH PV (0""-2.5"") | SALV, HAUL & STKPL RCL APH PV (2.5"")",Milling,305,115,3,2.5,,200312,20040909,59417,SY,0.4,1993,
20160712,SM,12,80,UA0090,660,0.632,664,0.513,ML,002706050,"MILLING, ADDING SHOULDERS AND ACP OVERLAY",,RER,,RMV STB BS AND/OR ASH PAV (CL 2)VAR DEP,Milling,105,70,2,,,200312,20040909,,,1521,1993,
20160712,SM,12,80,UA0090,660,0.632,664,0.513,ML,002706050,"MILLING, ADDING SHOULDERS AND ACP OVERLAY",,RER,,SUBGRADE WIDENING (DENS CONT),Subgrade,112,75,8,,,200312,20040909,,,30544.5,1993,
20160712,SM,12,80,UA0090,648,0.225,658,1.472,ML EW,002706055,BASE REPAIR AND OVERLAY,,OV,,PRODUCTION BONUS/PENALTY | PLACEMENT BONUS/PENALTY | D-GR HMA(QCQA) TY-D SAC-B PG70-22,Dense-graded TY-D,341,90,1,1.5,,200904,20091111,,,633260,2004,
20160712,SM,12,80,UA0090,648,0.225,658,1.472,ML EW,002706055,BASE REPAIR AND OVERLAY,,OV,,"SALV,HAUL&STKPL RCL APH PV(0 TO 1 1/2"")",Milling,305,76,3,1.5,,200904,20091111,,,197589.99,2004,
20160712,SM,12,80,UA0090,648,0.225,658,1.472,ML EW,002706055,BASE REPAIR AND OVERLAY,,OV,,AGGR(TY-PB GR-4S SAC-B) | ASPH (AC-20-5TR),Seal coat grade 4,316,80,2,,,200904,20091111,,,273477.8,2004,
20160712,SM,12,80,UA0090,668,0.253,668,0.331,ML EW,002707038,ADD LEFT TURN LANE AND IMPROVE TURN RADIUS,,OV,,D-GR HMA(METH) TY-D SAC-B PG70-22,Dense-graded TY-D,340,125,1,1.5,,200901,20100101,,,44557.245,2004,
20160712,SM,12,80,UA0090,668,0.253,668,0.331,ML EW,002707038,ADD LEFT TURN LANE AND IMPROVE TURN RADIUS,,OV,,EMBANKMENT (FINAL)(ORD COMP)(TY C),Fill,132,75,3,,,200901,20100101,,,680,2004,
20160712,SM,12,80,UA0090,668,0.253,668,0.331,ML EW,002707038,ADD LEFT TURN LANE AND IMPROVE TURN RADIUS,,OV,,"SALV, HAUL & STKPL RCL APH PV (1 1/2"")",Milling,305,110,2,1.5,,200901,20100101,,,14437.5,2004,
20160712,SM,12,80,UA0090,666,,668,0.869,ML,002707039,"BASE REPAIR, PLANING, ACP OVERLAY AND PAVEMENT MARKINGS",,OV,,PRODUCTION BONUS/PENALTY | PLACEMENT BONUS/PENALTY | D-GR HMA(QCQA) TY-D SAC-B PG70-22,Dense-graded TY-D,341,100,1,,,200502,20060101,,,559476.24,2004,
20160712,SM,12,80,UA0090,666,,668,0.869,ML,002707039,"BASE REPAIR, PLANING, ACP OVERLAY AND PAVEMENT MARKINGS",,OV,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(5"")",Flexible base,351,105,4,5,,200502,20060101,,,115068.75,2004,
20160712,SM,12,80,UA0090,666,,668,0.869,ML,002707039,"BASE REPAIR, PLANING, ACP OVERLAY AND PAVEMENT MARKINGS",,OV,,FL BS (CMP IN PLC)(TY D GR 4),Flexible base Gr 4,247,90,3,,,200502,20060101,,,1353.88,2004,
20160712,SM,12,80,UA0090,666,,668,0.869,ML,002707039,"BASE REPAIR, PLANING, ACP OVERLAY AND PAVEMENT MARKINGS",,OV,,"SALV, HAUL & STKPL RCL APH PV (1 1/2"")",Milling,305,97,2,1.5,,200502,20060101,,,52185.8976,2004,
20160712,SM,12,80,UA0090,672,0.784,672,0.918,ML E,002708165,RAISE ROADWAY ELEVATION TO MEET LEVEE ELEVATIONS,,RER,,D-GR HMA(METH) TY-D PG70-22 | D-GR HMA(METH) TY-D SAC-B PG70-22,Dense-graded HMA,340,125,1,3,,200905,20100303,570,TON,63.225,2004,
20160712,SM,12,80,UA0090,672,0.784,672,0.918,ML E,002708165,RAISE ROADWAY ELEVATION TO MEET LEVEE ELEVATIONS,,RER,,EMBANKMENT (FINAL)(DENS CONT)(TY C) | EMBANKMENT (FINAL)(ORD COMP)(TY C),Fill,132,75,3,,,200905,20100303,1026,CY,22.8,2004,
20160712,SM,12,80,UA0090,672,0.784,672,0.918,ML E,002708165,RAISE ROADWAY ELEVATION TO MEET LEVEE ELEVATIONS,,RER,,"SALV,HAUL& STKPL RCL APH PV(VAR DEPTH)",Milling,305,120,2,,,200905,20100303,,,2641.9,2004,
20160712,SM,12,102,UA0090,692,1.682,698,0.099,ML,002709096,"MILL, ASPHALT OVERLAY & PAVEMENT MARKINGS",,OV,,"FULL-DEPTH REPAIR CPJR (9"")",Concrete pavement,361,140,1,9,,200506,20080303,,,70016.52,2004,
20160712,SM,12,102,UA0090,692,1.682,698,0.099,ML,002709096,"MILL, ASPHALT OVERLAY & PAVEMENT MARKINGS",,OV,,D-GR HMA(METH) TY-D PG64-22,Dense-graded TY-D,340,132,2,,,200506,20080303,,,15318.0663,2004,
20160712,SM,12,102,UA0090,692,1.682,698,0.099,ML,002709096,"MILL, ASPHALT OVERLAY & PAVEMENT MARKINGS",,OV,,PRODUCTION BONUS/PENALTY | PLACEMENT BONUS/PENALTY | D-GR HMA(QCQA) TY-D SAC-A PG70-22,Dense-graded TY-D,341,135,3,,,200506,20080303,,,1588061.91,2004,
20160712,SM,12,102,UA0090,692,1.682,698,0.099,ML,002709096,"MILL, ASPHALT OVERLAY & PAVEMENT MARKINGS",,OV,,HMCL ACP TY-D SAC-C AC-1.5,Hot mix cold laid HMCL,334,139,6,,,200506,20080303,,,9291.79944,2004,
20160712,SM,12,102,UA0090,692,1.682,698,0.099,ML,002709096,"MILL, ASPHALT OVERLAY & PAVEMENT MARKINGS",,OV,,"SALV, HAUL & STKPL RCL APH PV (2 TO 4"")",Milling,305,120,5,4,,200506,20080303,225899.97,SY,1.5935,2004,
20160712,SM,12,102,UA0090,692,1.682,698,0.099,ML,002709096,"MILL, ASPHALT OVERLAY & PAVEMENT MARKINGS",,OV,,"REMOVING STAB BASE AND ASPH PAV (7"")",Milling,105,85,4,7,,200506,20080303,,,13086,2004,
20160712,SM,12,102,UA0090,700,0.626,704,1.285,ML,002710063,REHAB EXISTING ROAD AND DRAINAGE SYSTEM,,RER,,ASPH STAB BS (GR 4),Asphalt stabilized base,345,115,6,,,200407,20060404,,,21000,1993,
20160712,SM,12,102,UA0090,700,0.626,704,1.285,ML,002710063,REHAB EXISTING ROAD AND DRAINAGE SYSTEM,,RER,,"MONO CURB (6 "") | CONC PAV (CONT REINF)(10 "")",Concrete pavement,360,130,1,6,,200407,20060404,,,111906,1993,
