dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160727,SM,22,142,IH0035,66,0.706,69,,ML NS,001708068,MILL & INLAY HOTMIX ON NORTHBOUND AND SOUTHBOUND LANES,,OV,,EMBANKMENT (VEHICLE)(ORD COMP)(TY B),Fill,132,52,5,,,200606,20061212,,,5985,2004,
20160727,SM,22,142,IH0035,66,0.706,69,,ML NS,001708068,MILL & INLAY HOTMIX ON NORTHBOUND AND SOUTHBOUND LANES,,OV,,D-GR HMA(METH) TY-B PG70-22,Dense-graded TY-B,340,64,1,,,200606,20061212,,,21403.25,2004,
20160727,SM,22,142,IH0035,66,0.706,69,,ML NS,001708068,MILL & INLAY HOTMIX ON NORTHBOUND AND SOUTHBOUND LANES,,OV,,D-GR HMA(QCQA) TY-C SAC-A PG76-22 | PLACEMENT BONUS/PENALTY | PRODUCTION BONUS/PENALTY,Dense-graded TY-C,341,90,2,,,200606,20061212,,,968839.82,2004,
20160727,SM,22,142,IH0035,66,0.706,69,,ML NS,001708068,MILL & INLAY HOTMIX ON NORTHBOUND AND SOUTHBOUND LANES,,OV,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(6"")",Flexible base,351,65,4,6,,200606,20061212,,,35000,2004,
20160727,SM,22,142,IH0035,66,0.706,69,,ML NS,001708068,MILL & INLAY HOTMIX ON NORTHBOUND AND SOUTHBOUND LANES,,OV,,"PLANE ASPH CONC PAV (2"")",Milling,354,70,3,2,,200606,20061212,,,129267.8678,2004,
20160727,SM,22,142,IH0035,82,0.484,74,,ML NS,001708070,"RECONSTRUCTION OF NORTH BOUND MAINLANES, RAMPS",,RER,,D-GR HMA(METH) TY-B PG70-22,Dense-graded TY-B,340,60,2,3,,200909,20100303,,,347652,2004,
20160727,SM,22,142,IH0035,82,0.484,74,,ML NS,001708070,"RECONSTRUCTION OF NORTH BOUND MAINLANES, RAMPS",,RER,,D-GR HMA(QCQA) TY-C SAC-A PG70-22 | PLACEMENT BONUS/PENALTY | PRODUCTION BONUS/PENALTY,Dense-graded TY-C,341,65,1,2,,200909,20100303,,,874558.98,2004,
20160727,SM,22,142,IH0035,82,0.484,74,,ML NS,001708070,"RECONSTRUCTION OF NORTH BOUND MAINLANES, RAMPS",,RER,,"PLANE ASPH CONC PAV (3"") | PLANE ASPH CONC PAV (2"")",Milling,354,70,3,3,,200909,20100303,163234,SY,1.05,2004,
20160727,SM,22,142,IH0035,82,0.484,71,0.159,ML NS,001708071,OVERLAY,,OV,,STONE-MTRX-ASPH SMA-F SAC-A PG76-22 | PRODUCTION BONUS/PENALTY,Stone matrix asphalt SMA-F,346,136,1,1,,200902,20090909,,,1045260.99,2004,
20160727,SM,22,142,IH0035,82,0.484,71,0.159,ML NS,001708071,OVERLAY,,OV,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(8"")",Flexible base,351,82,3,8,,200902,20090909,,,380332.5,2004,
