dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160815,SM,5,185,US0070,226,0,236,0.697,ML EW,005201037,SEAL COAT,,SC,,AGG (INTER)(TY-PB GR 4 MOD) | ASPH (INTER)(AC-20-5TR OF AC-12-5TR) | ASPH (AC-20-5TR OR AC-12-5TR) | AGGR (TY PB GR 4 MOD),Seal coat grade 4,316,55,1,,,200511,20061010,,,8282496.574,2004,
20160815,SM,5,185,US0070,226,-0.011,236,0.693,ML EW,005201039,SEAL COAT FY 2012 SEAL COAT,,SC,,ASPH (TIER I) | AGGR (GR 5) | AGGR (GR 4) | ASPH (TIER II),Seal coat 2 CR,3235,255,1,,,201111,20121010,,,8792491.89,2004,PM
20160815,SM,5,9,US0070,236,0.697,246,1.548,ML EW,005202032,SEAL COAT FY 2009 SEAL COAT,,SC,,FOG SEAL (CSS-1H),Fog seal,315,1001,1,,,200812,20090909,,,30090,2004,
20160815,SM,5,9,US0070,236,0.697,246,1.548,ML EW,005202032,SEAL COAT FY 2009 SEAL COAT,,SC,,AGG (INTER)(TY-PB GR 4 MOD) | ASPH (AC-20-5TR) | AGGR (TY PB GR 4 MOD) | ASPH (AC-20-5TR)(INTER),Seal coat grade 4,316,60,2,,,200812,20090909,,,7114547.71,2004,
20160815,SM,5,9,US0070,246,1.404,246,3.123,ML EW,005202033,REHABILIATION OF EXISTING ROAD,,RER,,"FL BS(RDWY DEL)(TY A, GR4)(2"")",Flexible base Gr 4,247,110,7,2,,201201,20131010,,,190634,2004,MR
20160815,SM,5,9,US0070,246,1.404,246,3.123,ML EW,005202033,REHABILIATION OF EXISTING ROAD,,RER,,"CEMENT | CEM TRT (MX EXST MTL & NW BS)(4"") (DC)",Cement treated base,275,122,8,4,,201201,20131010,,,72074.8815,2004,MR
20160815,SM,5,9,US0070,246,1.404,246,3.123,ML EW,005202033,REHABILIATION OF EXISTING ROAD,,RER,,PRIME COAT (MC-30 OR AE-P),Prime coat,310,125,9,,,201201,20131010,,,74345.7,2004,MR
20160815,SM,5,9,US0070,246,1.404,246,3.123,ML EW,005202033,REHABILIATION OF EXISTING ROAD,,RER,,FOG SEAL (SS-1H OR CSS-1H),Fog seal,315,130,4,,,201201,20131010,,,28596,2004,MR
20160815,SM,5,9,US0070,246,1.404,246,3.123,ML EW,005202033,REHABILIATION OF EXISTING ROAD,,RER,,ASPH (TIER I) | AGGR (TIER I),Seal coat,316,135,5,,,201201,20131010,,,99979.4,2004,MR
20160815,SM,5,9,US0070,246,1.404,246,3.123,ML EW,005202033,REHABILIATION OF EXISTING ROAD,,RER,,D-GR HMA(METH) TY-D SAC-B PG64-22,Dense-graded TY-D,340,145,2,6,,201201,20131010,,,19700,2004,MR
