dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160815,SM,11,174,SH0007,740,1.684,744,0.944,ML EW,005901049,REHAB EXISTING RDWY & ADD 10FT SHOULDERS,,RER,,"REMOVING STAB BASE & ASPH PAV(14"")",Milling,105,80,4,14,,200705,20101111,,,3408,2004,
20160815,SM,11,174,SH0007,740,1.684,744,0.944,ML EW,005901049,REHAB EXISTING RDWY & ADD 10FT SHOULDERS,,RER,,EMBANKMENT (FINAL)(ORD COMP)(TY C) | EMBANKMENT (FINAL)(DENS CONT)(TY B),Fill,132,100,10,,,200705,20101111,53470,CY,5.5,2004,
20160815,SM,11,174,SH0007,740,1.684,744,0.944,ML EW,005901049,REHAB EXISTING RDWY & ADD 10FT SHOULDERS,,RER,,FL BS (CMP IN PLC)(TY A GR 2)(FNAL POS) | FL BS (RDWY DEL) (TY A GR 2) (IN VEH),Flexible base,247,160,6,,,200705,20101111,49082,CY,60,2004,
20160815,SM,11,174,SH0007,740,1.684,744,0.944,ML EW,005901049,REHAB EXISTING RDWY & ADD 10FT SHOULDERS,,RER,,"REWORK BS MATL (TY B) (11"")(DENS CONT)",Flexible base,251,170,7,11,,200705,20101111,,,72336,2004,
20160815,SM,11,174,SH0007,740,1.684,744,0.944,ML EW,005901049,REHAB EXISTING RDWY & ADD 10FT SHOULDERS,,RER,,"LIME TRT (EXST MATL) (12"") | LIME (QUICKLIME (DRY)) | LIME TRT (EXST MATL)(8"")",Lime treated base,260,175,8,8,,200705,20101111,,,619170.5,2004,
20160815,SM,11,174,SH0007,740,1.684,744,0.944,ML EW,005901049,REHAB EXISTING RDWY & ADD 10FT SHOULDERS,,RER,,"CEMENT | CEMENT TREAT (EXIST MATL)(12"") | CEMENT TREAT (EXIST MATL) (6"") | CEMENT TREAT(EXIST MATL)(8"")",Cement treated base,275,190,9,8,,200705,20101111,,,162659.8,2004,
20160815,SM,11,174,SH0007,740,1.684,744,0.944,ML EW,005901049,REHAB EXISTING RDWY & ADD 10FT SHOULDERS,,RER,,PRIME COAT (MC-30),Prime coat,310,210,11,,,200705,20101111,,,120672,2004,
20160815,SM,11,174,SH0007,740,1.684,744,0.944,ML EW,005901049,REHAB EXISTING RDWY & ADD 10FT SHOULDERS,,RER,,ASPH (AC-15P OR AC-10-2TR OR CRS-2P) | AGGR (TY-PE OR PL) (GR 4)(SAC-A) | ASPH (AC-20-5TR) | AGGR (TY-E GR-4 OR TY-L GR-4),Seal coat grade 4,316,215,3,,,200705,20101111,,,671389.3,2004,
20160815,SM,11,174,SH0007,740,1.684,744,0.944,ML EW,005901049,REHAB EXISTING RDWY & ADD 10FT SHOULDERS,,RER,,D-GR HMA(METH) TY-D PG64-22 | D-GR HMA(METH) TY-B PG64-22 | D-GR HMA(METH) TY-C SAC-B PG64-22,Dense-graded HMA,340,235,1,,,200705,20101111,2308,TON,117.8066667,2004,
20160815,SM,11,174,SH0007,740,1.684,744,0.944,ML EW,005901049,REHAB EXISTING RDWY & ADD 10FT SHOULDERS,,RER,,PRODUCTION BONUS/PENALTY | PLACEMENT BONUS/PENALTY | D-GR HMA(QCQA) TY-C SAC-A PG70-22 | D-GR HMA(QCQA) TY-D SAC-A PG70-22,Dense-graded HMA,341,251,2,2,,200705,20101111,,,1097474.647,2004,
20160815,SM,11,174,SH0007,740,1.684,744,0.944,ML EW,005901049,REHAB EXISTING RDWY & ADD 10FT SHOULDERS,,RER,,"PLANE ASPH CONC PAV (2"" TO 6"") | PLANE ASPH CONC PAV (14"") | PLANE ASPH CONC PAV(4"" TO 6"") | PLAN ASPH CONC PAV(4"" TO 12"") | PLANE ASPH CONC PAV (6"")",Milling,354,260,5,6,,200705,20101111,69811,SY,5.198,2004,
20160815,SM,11,174,SH0007,744,1.733,746,1.261,ML EW,005901054,SEAL COAT,,SC,,AGRR (TY E GR 3) | ASPH (AC-20-5TR) | ASPH (AC10-2TR) | AGGR (TY PE OR PL GR 4) | AGRR (TY PE OR PL GR 3),Seal coat 2 CR,316,215,1,,,200510,20060707,,,5490347.4,2004,
20160815,SM,11,174,SH0007,734,-0.619,736,0.481,ML EW,005901055,MICROSURFACING,,OV,,MICROSURFACING,Microsurfacing,350,191,1,,,200605,20070202,,,75893,2004,
20160815,SM,11,174,SH0007,732,1.363,740,1.855,ML EW,005901056,RESURFACE WITH SEAL COAT,,SC,,"AGGR(TY-PB GR-3 SAC-A) | AGGR(TY-PB GR-4 SAC-A) | ASPH (AC-10-2TR, AC-15P OR AC-15XP) | AGGR TY-PE OR TY-PL GR-5 SAC-B | ASPH (AC-20-5TR) | AGGR(TY-PE OR TY-PL GR-4 SAC-B)",Seal coat 3 CR,316,250,1,,,200911,20101111,,,4936303,2004,
20160815,SM,11,174,SH0007,740,1.428,744,1.267,ML EW,005901058,RESURFACE WITH SEAL COAT,,SC,,AGGR (TY-PB GR-3 OR TY-PB GR-3S)SAC-A | ASPH (AC-20-5TR),Seal coat grade 3,316,275,1,,,201311,20141111,,,743961.55,2004,PM
20160815,SM,11,174,SH0007,740,1.428,744,1.267,ML EW,005901058,RESURFACE WITH SEAL COAT,,SC,,AGGR (TIER I) | ASPH (TIER I) | AGGR (TIER II) | ASPH (TIER II),Seal coat,3278,390,2,,,201311,20141111,,,6321553.32,2004,PM
20160815,SM,11,203,SH0007,748,0,750,0,ML EW,005902013,RESURFACE WITH SEAL COAT,,SC,,AGGR(TY-PE GR-4 SAC-A),Seal coat grade 4,316,349,1,,,201111,20130808,,,165009.15,2004,PM
20160815,SM,11,203,SH0007,748,0,750,0,ML EW,005902013,RESURFACE WITH SEAL COAT,,SC,,AGGR (TIER I) | ASPH (TIER I) | AGGR (TIER II) | ASPH (TIER II),Seal coat,3235,340,2,,,201111,20130808,,,6655735.41,2004,PM
20160815,SM,11,210,SH0007,766,0.298,766,1.282,ML EW,005904042,RESURFACING,,OV,,AGGR(TY-E OR TY-L GR-4) | ASPH (AC-15P OR AC-10-2TR OR CRS-2P),Seal coat grade 4,316,80,3,,,200707,20080505,,,97368.26,2004,
20160815,SM,11,210,SH0007,766,0.298,766,1.282,ML EW,005904042,RESURFACING,,OV,,D-GR HMA(METH) TY-B PG76-22,Dense-graded TY-B,340,90,1,2,,200707,20080505,,,16673.2,2004,
20160815,SM,11,210,SH0007,766,0.298,766,1.282,ML EW,005904042,RESURFACING,,OV,,D-GR HMA(QCQA) TY-C SAC-B PG64-22 | D-GR HMA(QCQA) TY-D PG64-22 | PLACEMENT BONUS/PENALTY | PRODUCTION BONUS/PENALTY,Dense-graded HMA,341,95,2,1.5,,200707,20080505,,,716293.98,2004,
20160815,SM,11,210,SH0007,766,0.298,766,1.282,ML EW,005904042,RESURFACING,,OV,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(6"") | FLEXIBLE PAVEMENT STRUCTURE REPAIR(12"")",Flexible base,351,104,5,6,,200707,20080505,1850,SY,69.555,2004,
20160815,SM,11,210,SH0007,766,0.298,766,1.282,ML EW,005904042,RESURFACING,,OV,,"PLANE ASPH CONC PAV (2"")",Milling,354,110,4,2,,200707,20080505,,,56403.6,2004,
20160815,SM,11,210,SH0007,756,0.459,764,1.947,ML EW,005904044,RESURFACE WITH PFC OVERLAY,,OV,,AGGR(TY-E OR TY-L GR-4) | ASPH (AC-15P OR AC-10-2TR OR CRS-2P),Seal coat grade 4,316,80,2,,,201401,20141212,,,59961,2004,PM
20160815,SM,11,210,SH0007,756,0.459,764,1.947,ML EW,005904044,RESURFACE WITH PFC OVERLAY,,OV,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(12"")",Flexible base,351,90,4,12,,201401,20141212,,,24499.5,2004,PM
20160815,SM,11,210,SH0007,756,0.459,764,1.947,ML EW,005904044,RESURFACE WITH PFC OVERLAY,,OV,,"PLANE ASPH CONC PAV(0"" TO 4"")",Milling,354,95,3,4,,201401,20141212,,,36695.84,2004,PM
20160815,SM,11,210,SH0007,756,0.459,764,1.947,ML EW,005904044,RESURFACE WITH PFC OVERLAY,,OV,,D-GR HMA(SQ) TY-D PG64-22 | D-GR HMA(SQ) TY-B PG64-22,Dense-graded HMA,3267,150,1,,,201401,20141212,280,TON,187.5,2004,PM
