dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160815,SM,6,195,IH0020,4,0.279,7,0.744,ML EW,000305044,SEAL COAT,,SC,,AGGR (TY-PB GR-7 SAC-A) | ASPH (AC-20-5TR),Seal coat,316,205,1,,,200511,20060909,,,7848088.45,2004,
20160815,SM,6,195,IH0020,0,0,1,0.194,ML EW,000305045,PAVEMENT OVERLAY,,OV,,"CEMENT TREAT (EXIST MATL) (6') | CEMENT",Cement treated base,275,65,3,6,,200807,20091010,,,56268.9,2004,
20160815,SM,6,195,IH0020,0,0,1,0.194,ML EW,000305045,PAVEMENT OVERLAY,,OV,,PRIME COAT (AE-P),Prime coat,310,75,4,,,200807,20091010,,,22536,2004,
20160815,SM,6,195,IH0020,0,0,1,0.194,ML EW,000305045,PAVEMENT OVERLAY,,OV,,PFC (AGGREGATE)(A-R MIX) SAC-A | PFC (ASPHALT) A-R-BNDR,Permeable friction course PFC,342,90,1,1,,200807,20091010,7383,TON,548.35,2004,
20160815,SM,6,195,IH0020,0,0,1,0.194,ML EW,000305045,PAVEMENT OVERLAY,,OV,,"PLANE ASPH CONC PAV (4')",Milling,354,105,2,4,,200807,20091010,,,55369.6,2004,
20160815,SM,6,195,IH0020,25,0.172,32,0.02,ML EW,000306082,PAVEMENT OVERLAY,,OV,,ASPH (AC-20XP) | AGGR (TY-PB GR-7 SAC-A),Seal coat,316,70,1,,,200612,20070606,,,384701.73,2004,
20160815,SM,6,195,IH0020,25,0.172,32,0.02,ML EW,000306082,PAVEMENT OVERLAY,,OV,,"PLANE ASPH CONC PAV (5') | PLANE ASPH CONC PAV (0'-1/2')",Milling,354,91,2,5,,200612,20070606,61151,SY,2.655,2004,
20160815,SM,6,195,IH0020,14,0.012,18,1.5,ML EW,000306083,PAVEMENT OVERLAY,,OV,,PRIME COAT (AE-P),Prime coat,310,66,3,,,200802,20081212,,,57600,2004,
20160815,SM,6,195,IH0020,14,0.012,18,1.5,ML EW,000306083,PAVEMENT OVERLAY,,OV,,ASPH (AC-20XP) | AGGR (TY-PB GR-4 MOD SAC-B),Seal coat grade 4,316,70,1,,,200802,20081212,,,274141.22,2004,
20160815,SM,6,195,IH0020,14,0.012,18,1.5,ML EW,000306083,PAVEMENT OVERLAY,,OV,,"PLANE ASPH CONC PAV (1.5') | PLANE ASPH CONC PAV (5 1/2' TO 6 1/2')",Milling,354,85,2,6.5,,200802,20081212,316212,SY,1.5,2004,
20160815,SM,6,195,IH0020,22,0.715,30,1.682,ML EW,000306084,SEAL COAT,,SC,,ASPH (AC10-2TR) | ASPH (AC-20-5TR) | AGGR (TY-PB GR-4 MOD SAC-B),Seal coat grade 4,316,260,1,,,200711,20080707,,,8185544.05,2004,
20160815,SM,6,195,IH0020,33,0.813,48,0.194,ML EW,000307046,PAVEMENT OVERLAY,,OV,,"REWRKING BS MATL (TY C CL 2)(3')",Flexible base,251,62,5,3,,200403,20050202,,,142861,1993,
20160815,SM,6,195,IH0020,33,0.813,48,0.194,ML EW,000307046,PAVEMENT OVERLAY,,OV,,EMULS ASPH (AE-P),Fog seal,314,67,2,,,200403,20050202,,,126852.15,1993,
20160815,SM,6,195,IH0020,33,0.813,48,0.194,ML EW,000307046,PAVEMENT OVERLAY,,OV,,"ASPH (CRS-1P) | AGGR (TY B, GR3) | ASPH (AC-5 LATEX ADDITV) | AGGR (TY B, GR4)",Seal coat 2 CR,316,68,3,,,200403,20050202,,,821046.67,1993,
20160815,SM,6,195,IH0020,33,0.813,48,0.194,ML EW,000307046,PAVEMENT OVERLAY,,OV,,"PLANE ASPH CONC PAV (8') | PLAN ASPH CONC PAV (2 IN)",Milling,354,80,4,8,,200403,20050202,665091,SY,1.25,1993,
20160815,SM,6,195,IH0020,33,0.813,48,0.194,ML EW,000307046,PAVEMENT OVERLAY,,OV,,HOT MIX (TY B)(BASE) | HOT MIX (TY CMHB-F)(PG 70-22),Dense-graded HMA,3146,217,1,,,200403,20050202,49059,TON,45.96,1993,
20160815,SM,6,195,BI0020B,222,0.0,226,1.96,ML,000308056,SEAL COAT,,SC,,AGGR (TY PB GR7) | ASPH (AC-20-5TR),Seal coat,316,255,1,,,200311,20040707,,,5481720.75,1993,
20160815,SM,6,238,IH0020,48,0.194,64,0.72,ML EW,000402052,PAVEMENT OVERLAY,,OV,,EMULS ASPH (MS-2) | EMULS ASPH (AE-P),Fog seal,314,65,2,,,200308,20050202,123442,GAL,0.745,1993,
