dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160616,SM,1,113,IH0030,108,1,122,0.567,FR EW,000909098,SEAL COAT,,SC,,ASPH (TIER II) | AGGR (TIER II) | AGGR (TIER I) | AGGR (TIER III) | ASPH (TIER I) | ASPH (TIER III),Seal coat,316,55,1,,,201210,20130909,,,8249672.85,2004,PM
20160616,SM,1,113,IH0030,123,0.889,127,0.66,FR EW,001002088,SEAL COAT,,SC,,AGGR (TIER II) | ASPH (TIER II) | AGGR (TIER I) | AGGR (TIER III) | ASPH (TIER I) | ASPH (TIER III),Seal coat,316,55,1,,,201310,20141212,,,5666960.2,2004,PM
20160616,SM,1,92,US0075,202,1.309,204,0.122,FR S,004718055,REHABILITATE EXISTING SB FRONTAGE ROAD,,RER,,"REMOVING STAB BASE & ASPH PAV (8'-10') | REMOVING STAB BASE AND ASPH PAV (13') | REMOVING STAB BASE AND ASPH PAV (6')",Milling,105,85,3,8,,200512,20070303,14486,SY,5.75,2004,
20160616,SM,1,92,US0075,202,1.309,204,0.122,FR S,004718055,REHABILITATE EXISTING SB FRONTAGE ROAD,,RER,,SUBGRADE WIDENING (ORD COMP),Subgrade,112,105,7,,,200512,20070303,,,21644.2,2004,
20160616,SM,1,92,US0075,202,1.309,204,0.122,FR S,004718055,REHABILITATE EXISTING SB FRONTAGE ROAD,,RER,,EMBANKMENT (FINAL)(DENS CONT)(TY B),Fill,132,110,6,,,200512,20070303,,,167401,2004,
20160616,SM,1,92,US0075,202,1.309,204,0.122,FR S,004718055,REHABILITATE EXISTING SB FRONTAGE ROAD,,RER,,"LIME (HYDRATED LIME (SLURRY)) | LIME TRT (EXST MATL) (6')",Lime treated base,260,135,5,6,,200512,20070303,,,75808.25,2004,
20160616,SM,1,92,US0075,202,1.309,204,0.122,FR S,004718055,REHABILITATE EXISTING SB FRONTAGE ROAD,,RER,,D-GR HMA(METH) TY-B PG64-22 | D-GR HMA(METH) TY-D SAC-B PG64-22,Dense-graded HMA,340,145,2,,,200512,20070303,5595,TON,62.5,2004,
20160616,SM,1,92,US0075,202,1.309,204,0.122,FR S,004718055,REHABILITATE EXISTING SB FRONTAGE ROAD,,RER,,"PLANE ASPH CONC PAV(0' TO 2')",Milling,354,155,4,2,,200512,20070303,,,1539,2004,
20160616,SM,1,92,US0075,202,1.309,204,0.122,FR S,004718055,REHABILITATE EXISTING SB FRONTAGE ROAD,,RER,,"CONC PVMT (CONT REINF-CRCP)(10') | CONC PVMT (JOINTED-CPCD)(10') | CURB (TYPE II)",Concrete pavement,360,160,1,10,,200512,20070303,,,914478,2004,
20160616,SM,1,92,FM0902,594,0.527,600,0.422,FR W,051001022,REHABILITATE EXISTING ROADWAY,,RER,,SUBGRADE WIDENING (ORD COMP),Subgrade,112,65,7,,,200904,20101212,,,31878.5,2004,
20160616,SM,1,92,FM0902,594,0.527,600,0.422,FR W,051001022,REHABILITATE EXISTING ROADWAY,,RER,,"FL BS (CMP IN PLC)(TY D GR 4) (6') | FL BS (CMP IN PLC)(TY D GR 4)",Flexible base,247,110,3,6,,200904,20101212,,,437149.658,2004,
20160616,SM,1,92,FM0902,594,0.527,600,0.422,FR W,051001022,REHABILITATE EXISTING ROADWAY,,RER,,"REWORK BS MTL (TY B) (8') (ORD COMP)",Flexible base,251,120,5,8,,200904,20101212,,,67549.22,2004,
