dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160412,SM,21,253,US0083,736,0.004,744,1.904,ML NS,003802032,FY 2011 SEALCOAT PROGRAM,,SC,,ASPH (AC-15P OR AC-20-5TR) | AGGR(TY-PB GR-4 SAC-B),Seal coat grade 4,316,265,1,,,201011,20111212,,,308388.78,2004,
20160412,SM,21,253,US0083,744,1.904,752,1.829,ML NS,003803035,FY 2011 SEALCOAT PROGRAM,,SC,,ASPH (AC-15P OR AC-20-5TR) | AGGR(TY-PB GR-4 SAC-B),Seal coat grade 4,316,465,1,,,201011,20111212,,,247660.575,2004,
20160412,SM,21,253,US0083,756,0.798,762,0.685,ML NS,003804059,FY 2008 OVERLAY & SEALCOAT PROGRAM,,SC,,ASPH (AC-15P OR AC-20-5TR) | AGGR(TY-PB GR-4 SAC-B),Seal coat grade 4,316,235,1,,,200712,20080707,,,2216549.839,2004,
20160412,SM,21,214,US0083,792,0.001,800,0.64,ML,003806038,SEAL COAT,,SC,,ASPH (AC-20-5TR) | AGGR(TY-PB GR-4 SAC-B),Seal coat grade 4,316,175,1,,,200612,20071010,,,2194723.95,2004,
20160412,SM,21,214,US0083,812,1.376,818,0.983,ML NS,003807061,FY 2009 OVERLAY PROGRAM,,OV,,D-GR HMA(QCQA) TY-D SAC-A PG76-22,Dense-graded TY-D,341,180,1,1.5,,200902,20091010,,,4635008.07,2004,
20160412,SM,21,214,US0083,812,1.376,818,0.983,ML NS,003807061,FY 2009 OVERLAY PROGRAM,,OV,,"PLANE ASPH CONC PAV (1.5') | PLANE ASPH CONC PAV (0' TO 1 1/2')",Milling,354,185,2,1.5,,200902,20091010,170401.1,SY,0.64,2004,
20160412,SM,21,214,US0083,808,1.246,812,1.408,ML NS,003807064,FY 2012 OVERLAY PROGRAM,,OV,,"PLANE ASPH CONC PAV (0' TO 1 1/2') | PLANE ASPH CONC PAV(4.5')",Milling,354,385,2,4.5,,201110,20130606,8158,SY,1.25,2004,PM
20160412,SM,21,214,US0083,808,1.246,812,1.408,ML NS,003807064,FY 2012 OVERLAY PROGRAM,,OV,,"PAV JT UNDERSEAL (24') | FABRIC",Fabric underseal,356,395,3,,,201110,20130606,,,6387.3,2004,PM
20160412,SM,21,214,US0083,808,1.246,812,1.408,ML NS,003807064,FY 2012 OVERLAY PROGRAM,,OV,,D-GR HMA(QCQA) TY-D SAC-A PG76-22 | PRODUCTION BONUS/PENALTY | PLACEMENT BONUS/PENALTY,Dense-graded TY-D,3224,380,1,1.5,,201110,20130606,,,1151467.917,2004,PM
20160412,SM,21,214,FM0650,458,0.04,462,0.771,ML EW,003810009,FY 2012 SEAL COAT PROGRAM,,SC,,ASPH (TIER II) | AGGR (GR 4P),Seal coat grade 4,316,275,1,,,201109,20121010,,,121254.116,2004,PM
20160412,SM,21,214,US0083,822,0.039,826,1.165,ML NS,003901071,DISTRICT WIDE OVERLAY,,OV,,D-GR HMA(QCQA) TY-D SAC-A PG76-22,Dense-graded TY-D,341,170,1,1.5,,200712,20080909,,,6496076.4,2004,
20160412,SM,21,214,US0083,822,0.039,826,1.165,ML NS,003901071,DISTRICT WIDE OVERLAY,,OV,,"PLANE ASPH CONC PAV (1.5') | PLANE ASPH CONC PAV (0' TO 1 1/2') | PLANE ASPH CONC PAV (1/2')",Milling,354,175,2,1.5,,200712,20080909,149617,SY,1.05,2004,
20160412,SM,21,214,US0083,830,0.556,834,0.445,ML NS,003901073,OVERLAY,,OV,,D-GR HMA(QCQA) TY-D SAC-A PG76-22 | PRODUCTION BONUS/PENALTY | PLACEMENT BONUS/PENALTY,Dense-graded TY-D,341,70,1,1.5,,200904,20100404,,,844105.28,2004,
20160412,SM,21,214,US0083,830,0.556,834,0.445,ML NS,003901073,OVERLAY,,OV,,"PLANE ASPH CONC PAV (1.5') | PLANE ASPH CONC PAV (0' TO 1 1/2') | PLANE ASPH CONC PAV (1/2')",Milling,354,75,2,1.5,,200904,20100404,12809,SY,0.98,2004,
20160412,SM,21,109,US0083,846,0.09,848,0.424,ML EW,003902061,OVERLAY,,OV,,D-GR HMA(QCQA) TY-D SAC-A PG76-22 | PRODUCTION BONUS/PENALTY | PLACEMENT BONUS/PENALTY,Dense-graded TY-D,341,330,1,1.5,,200904,20100404,,,532762.24,2004,
20160412,SM,21,109,US0083,840,0.00,846,0.09,ML EW,003902062,SEAL COAT,,SC,,ASPH (TIER I) | AGGR (GR 4P),Seal coat grade 4,316,340,1,,,201210,20130707,,,354904.52,2004,PM
20160412,SM,21,109,BU0083S,502,1.639,504,0.553,ML EW,003903094,FY 2012 OVERLAY PROGRAM,,OV,,AGGR(TY-PB GR-4 SAC-B) | ASPH (AC-10 OR HFRS-2P),Seal coat grade 4,316,335,2,,,201109,20120707,,,35088,2004,PM
20160412,SM,21,109,BU0083S,502,1.639,504,0.553,ML EW,003903094,FY 2012 OVERLAY PROGRAM,,OV,,"PLANE ASPH CONC PAV (3') | PLANE ASPH CONC PAV (0' TO 1 1/2') | PLANE ASPH CONC PAV (1.5' TO 3')",Milling,354,350,3,3,,201109,20120707,21953,SY,1.11,2004,PM
20160412,SM,21,109,BU0083S,502,1.639,504,0.553,ML EW,003903094,FY 2012 OVERLAY PROGRAM,,OV,,D-GR HMA(QCQA) TY-D SAC-A PG76-22 | PRODUCTION BONUS/PENALTY | PLACEMENT BONUS/PENALTY,Dense-graded TY-D,3224,345,1,1.5,,201109,20120707,,,158896.36,2004,PM
