dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160419,SM,15,46,IH0035,191,0.665,197,0.624,ML,001604102,"SEALCOAT, PFC OVERLAY, & PAVEMENT MARKINGS",,OV,,ASPH (AC-15P) | AGGR (TY PB GR 3)(MOD),Seal coat grade 3,316,60,3,,,200412,20070707,,,279146.82,1993,
20160419,SM,15,46,IH0035,191,0.665,197,0.624,ML,001604102,"SEALCOAT, PFC OVERLAY, & PAVEMENT MARKINGS",,OV,,"PLANE ASPH CONC PAV (0' TO 1 1/2 ') | PLAN ASPH CONC PAV (1.5 ')",Milling,354,70,4,1.5,,200412,20070707,25662,SY,1.5025,1993,
20160419,SM,15,46,IH0035,191,0.665,197,0.624,ML,001604102,"SEALCOAT, PFC OVERLAY, & PAVEMENT MARKINGS",,OV,,HOT MIX (TY D)(LEVEL-UP)(PG 70-22),Dense-graded TY-D,3146,184,2,,,200412,20070707,,,78447.23922,1993,
20160419,SM,15,46,IH0035,191,0.665,197,0.624,ML,001604102,"SEALCOAT, PFC OVERLAY, & PAVEMENT MARKINGS",,OV,,"PFC (AGGREGATE) (CL A) | PFC (ASPHALT) (TY I OR II, CRM)",Permeable friction course PFC,3818,190,1,1.5,,200412,20070707,21233,TON,75.28,1993,
20160419,SM,15,46,IH0035,191,0.665,197,0.624,ML,001604107,SEAL COAT AND PFC OVERLAY EXISTING SHOULDERS,,OV,,ASPH(AC-5 OR AC-10)LATEX OR CRS-1P/2P | AGGR(TY-PB GR-4 SAC-B),Seal coat grade 4,316,70,3,,,200702,20070909,,,80984.62,2004,
20160419,SM,15,46,IH0035,191,0.665,197,0.624,ML,001604107,SEAL COAT AND PFC OVERLAY EXISTING SHOULDERS,,OV,,PFC (AGGREGATE)(PG76 MIX) SAC-B | PFC (ASPHALT) PG76-22,Permeable friction course PFC,342,80,2,1.5,,200702,20070909,5762,TON,91.41,2004,
20160419,SM,15,46,IH0035,191,0.665,197,0.624,ML,001604107,SEAL COAT AND PFC OVERLAY EXISTING SHOULDERS,,OV,,ULTRA THIN BND HM WEAR CRS(AGGR)(TY C) | ULTRA THIN BND HM WEAR CRS(ASPH)(TY C) | ULTRA THIN BND HM WEAR CRS(MMBRN)(TY C),Ultra-thin bonded wearing course UTBWC,3001,195,1,,,200702,20070909,,,1391122.16,2004,
20160419,SM,15,46,IH0035,193,0.05,197,0.624,FR,001604108,SEAL COAT & PAVEMENT MARKINGS FRONTAGE ROADS,,SC,,FOG SEAL (SS-1 OR CSS-1),Fog seal,315,160,1,,,200711,20081111,,,99190.75,2004,
20160419,SM,15,46,IH0035,193,0.05,197,0.624,FR,001604108,SEAL COAT & PAVEMENT MARKINGS FRONTAGE ROADS,,SC,,AGGR(TY-PB GR-4 SAC-B) | AGGR(TY-PB GR-3 SAC-B) | ASPH (AC-15P),Seal coat 2 CR,316,165,2,,,200711,20081111,,,2058763.76,2004,
20160419,SM,15,46,IH0035,182,0.793,182,0.945,ML S,001605104,RESURFACE SOUTHBOUND MAINLANES AND SHOULDERS,,OV,,D-GR HMA(METH) TY-D PG70-22,Dense-graded TY-D,340,950,2,,,200707,20090606,,,1332,2004,
20160419,SM,15,46,IH0035,182,0.793,182,0.945,ML S,001605104,RESURFACE SOUTHBOUND MAINLANES AND SHOULDERS,,OV,,TBPFC (AGGREGATE)(PG 76 MIX) SAC-A | TBPFC (ASPHALT)(PG 76-22) | TBPFC (MEMBRANE),Thin bonded permeable friction course TBPFC,3000,965,1,,,200707,20090606,,,33314.4,2004,
20160419,SM,15,46,IH0035,186,0.05,186,0.223,ML S,001605105,RESURFACE SOUTHBOUND MAINLANES AND SHOULDERS,,OV,,D-GR HMA(METH) TY-D PG70-22,Dense-graded TY-D,340,1140,2,,,200707,20090606,,,1776,2004,
20160419,SM,15,46,IH0035,186,0.05,186,0.223,ML S,001605105,RESURFACE SOUTHBOUND MAINLANES AND SHOULDERS,,OV,,TBPFC (AGGREGATE)(PG 76 MIX) SAC-A | TBPFC (MEMBRANE) | TBPFC (ASPHALT)(PG 76-22),Thin bonded permeable friction course TBPFC,3000,1155,1,,,200707,20090606,,,52578.6,2004,
