dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160519,SM,10,37,SH0294,682,0.98,696,1.103,ML,005804017,SEAL COAT AND PAVEMENT MARKINGS,,SC,,ASPH (AC-15-5TR) | AGGR(TY PD GR3 OR PL GR3) | AGGR (TY PD GR4 OR PL GR4),Seal coat 2 CR,316,315,1,,,200210,20031111,,,5575195.52,1993,
20160519,SM,10,250,SH0011,692,1.184,704,0,ML,008306037,SEAL COAT & PAVEMENT MARKINGS,,SC,,AGGR (TY PD GR-5 OR TY PL GR-5)(SAC-B) | ASPH (AC-20XP OR AC-20-5TR) | AGGR (TY-PD GR-4 OR TY-PL GR-4)(SAC-B) | ASPH (AC-20-5TR) | AGGR (TY-PD GR-3 OR TYL-PL GR-3) | AGGR(TY PL GR 4)SAC-A,Seal coat 3 CR,316,250,1,,,200711,20081111,,,7896766.1,2004,
20160519,SM,10,250,SH0011,694,0,704,0,ML EW,008306038,SEAL COAT & PAVEMENT MARKINGS,,SC,,FOG SEAL (CSS-1H),Fog seal,315,301,1,,,201411,,,,46459,2004,PM
20160519,SM,10,250,SH0011,694,0,704,0,ML EW,008306038,SEAL COAT & PAVEMENT MARKINGS,,SC,,AGGR (TIER II) | AGGR (TIER I) | ASPH (TIER I) | ASPH (TIER II),Seal coat,316,50,2,,,201411,,,,6134449.25,2004,PM
20160519,SM,10,234,US0080,700,0,704,1.484,ML,009506057,RESURFACE ROADWAY,,OV,,AGGR(TY-PD GR-4 SAC-B) | ASPH (AC-20-5TR),Seal coat grade 4,316,70,2,,,200605,20070101,,,381393,2004,
20160519,SM,10,234,US0080,700,0,704,1.484,ML,009506057,RESURFACE ROADWAY,,OV,,D-GR HMA(METH) TY-D SAC-B PG64-22,Dense-graded TY-D,340,80,3,,,200605,20070101,,,206828,2004,
20160519,SM,10,234,US0080,700,0,704,1.484,ML,009506057,RESURFACE ROADWAY,,OV,,PLACEMENT BONUS/PENALTY | PRODUCTION BONUS/PENALTY | D-GR HMA(QCQA) TY-C SAC-A PG70-22,Dense-graded TY-C,341,85,1,3,,200605,20070101,,,1562130,2004,
20160519,SM,10,234,US0080,700,0,704,1.484,ML,009506057,RESURFACE ROADWAY,,OV,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(9"")",Flexible base,351,90,5,9,,200605,20070101,,,360000,2004,
20160519,SM,10,234,US0080,700,0,704,1.484,ML,009506057,RESURFACE ROADWAY,,OV,,"PLANE ASPH CONC PAV (3"")",Milling,354,95,4,3,,200605,20070101,,,8539.55,2004,
20160519,SM,10,234,US0080,700,0,702,1.262,ML,009506058,SEAL COAT AND PAVEMENT MARKINGS,,SC,,AGGR(STKPL)(TY PD GR4 OR PL GR4) | AGGR(STKPL)(TY PD GR3 OR PL GR3) | AGGR(TY PD GR3 OR PL GR3) | ASPH (AC-20-5TR) | AGGR (TY PD GR4 OR PL GR4),Seal coat 2 CR,316,380,1,,,200311,20050101,,,7430191.8,1993,
