dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160727,SM,9,110,SH0081,338,1.095,340,0.538,ML EW,001406040,REHABILITATE ROADWAY,,RER,,EMBANKMENT (FINAL)(ORD COMP)(TY C),Fill,132,95,4,,,201201,20130909,,,22490,2004,LR
20160727,SM,9,110,SH0081,338,1.095,340,0.538,ML EW,001406040,REHABILITATE ROADWAY,,RER,,"AGGR (TY-D GR-4 OR TY-L GR-4)(SAC-B) | ASPH(AC-15P,AC-20XP,AC10-2TR,AC-12-5TR)",Seal coat grade 4,316,135,2,,,201201,20130909,,,103542.5,2004,LR
20160727,SM,9,110,SH0081,338,1.095,340,0.538,ML EW,001406040,REHABILITATE ROADWAY,,RER,,"PLANE ASPH CONC PAV (1.5')",Milling,354,145,3,1.5,,201201,20130909,,,66588.75,2004,LR
20160727,SM,9,110,SH0081,338,1.095,340,0.538,ML EW,001406040,REHABILITATE ROADWAY,,RER,,PRODUCTION BONUS/PENALTY | D-GR HMA(QCQA) TY-B PG64-22 | D-GR HMA(QCQA) TY-D SAC-B PG70-22 | PLACEMENT BONUS/PENALTY,Dense-graded HMA,3224,485,1,1.5,,201201,20130909,,,479320,2004,LR
20160727,SM,9,110,IH0035,356,0.474,358,0.711,ML,001407092,ASPHALT CONCRETE PAVEMENT OVERLAY,,OV,,ASPH (AC-20-5TR) | ASPH (AC-15P) | AGGR(TY-PL GR-4 SAC-B),Seal coat grade 4,316,74,4,,,200506,20071212,,,1150347.639,2004,
20160727,SM,9,110,IH0035,356,0.474,358,0.711,ML,001407092,ASPHALT CONCRETE PAVEMENT OVERLAY,,OV,,D-GR HMA(QCQA) TY-C SAC-B PG70-22,Dense-graded TY-C,341,84,3,,,200506,20071212,,,102516.4,2004,
20160727,SM,9,110,IH0035,356,0.474,358,0.711,ML,001407092,ASPHALT CONCRETE PAVEMENT OVERLAY,,OV,,PRODUCTION BONUS/PENALTY | STONE-MTRX-ASPH SMA-D SAC-A PG76-22 | PLACEMENT BONUS/PENALTY,Stone matrix asphalt SMA-D,346,85,1,,,200506,20071212,,,4942194.518,2004,
20160727,SM,9,110,IH0035,356,0.474,358,0.711,ML,001407092,ASPHALT CONCRETE PAVEMENT OVERLAY,,OV,,"FLEXIBLE PAVEMENT STRUCTURE REPAIR(8')",Flexible base,351,90,6,8,,200506,20071212,11767.34,SY,45.89,2004,
20160727,SM,9,110,IH0035,356,0.474,358,0.711,ML,001407092,ASPHALT CONCRETE PAVEMENT OVERLAY,,OV,,"PLANE ASPH CONC PAV(0' TO 2')",Milling,354,95,5,2,,200506,20071212,799549,SY,0.97,2004,
20160727,SM,9,110,IH0035,356,0.474,358,0.711,ML,001407092,ASPHALT CONCRETE PAVEMENT OVERLAY,,OV,,"FULL-DEPTH REPAIR CPCD (12')",Concrete pavement,361,100,2,12,,200506,20071212,,,570000,2004,
20160727,SM,9,161,BU0077L,354,0.679,354,1.243,ML NS,001410059,MICROSURFACING,,SC,,"ASPH (AC-20-XP, AC-15P OR AC-10-2TR) | AGGR(TY-PL GR-5 SAC-B)",Seal coat grade 5,316,80,1,,,200801,20081212,,,500947.5,2004,
