dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160809,SM,3,169,US0081,191,0.129,194,1.416,ML NS,001302019,SEAL COAT,,SC,,AGGR(TY-PE GR-4 SAC-B) | ASPH (AC-20XP OR AC-20-5TR),Seal coat grade 4,316,175,1,,,200710,20090707,,,3066657.9,2004,
20160809,SM,3,169,US0081,214,0.78,216,0.687,ML NS,001305050,SEAL COAT,,SC,,"AGGR (TY PB, GR 4)(MOD) | ASPH (AC-20-5TR) | ASPH (AC-15XP)",Seal coat grade 4,316,310,1,,,200310,20041111,,,3740464.16,1993,
20160809,SM,3,169,US0081,216,1.272,216,1.785,ML NS,001305053,HOT MIX OVERLAY,,OV,,D-GR HMA(QCQA) TY-D SAC-A PG70-22 | PLACEMENT BONUS/PENALTY | PRODUCTION BONUS/PENALTY,Dense-graded TY-D,341,91,1,2,,200510,20060606,,,194799.6,2004,
20160809,SM,3,169,US0081,216,1.272,216,1.785,ML NS,001305053,HOT MIX OVERLAY,,OV,,"PLANE ASPH CONC PAV(0"" TO 3"") | PLANE ASPH CONC PAV(0"" TO 2"")",Milling,354,100,2,3,,200510,20060606,25467,SY,2.5,2004,
20160809,SM,3,169,US0081,214,0.78,216,0.539,ML NS,001305054,MICROSURFACING,,OV,,MICROSURFACING,Microsurfacing,350,80,1,,,200703,20070707,,,686693,2004,
20160809,SM,3,169,US0081,220,0.347,226,0,ML S,001305055,THIN BONDED CONCRETE OVERLAY,,RER,,EMULS ASPH (EROSN CONT)SS-1 OR CSS-1H,Prime coat,314,85,5,,,201203,20140404,,,38281.75,2004,HR
20160809,SM,3,169,US0081,220,0.347,226,0,ML S,001305055,THIN BONDED CONCRETE OVERLAY,,RER,,"PLANE ASPH CONC PAV(0"" TO 4"")",Milling,354,89,4,4,,201203,20140404,,,41226.5,2004,HR
20160809,SM,3,169,US0081,220,0.347,226,0,ML S,001305055,THIN BONDED CONCRETE OVERLAY,,RER,,"CONC PVMT (THIN BOND CONC OVERLAY)(4"")",Concrete pavement,360,95,1,4,,201203,20140404,,,2020425,2004,HR
20160809,SM,3,169,US0081,220,0.347,226,0,ML S,001305055,THIN BONDED CONCRETE OVERLAY,,RER,,"FULL-DEPTH REPAIR CRCP (8"") | FULL-DEPTH REPAIR CRCP (12"")",Concrete pavement,361,115,2,8,,201203,20140404,1317,SY,216.22,2004,HR
20160809,SM,3,169,US0081,220,0.347,226,0,ML S,001305055,THIN BONDED CONCRETE OVERLAY,,RER,,D-GR HMA(QCQA) TY-C PG64-22,Dense-graded TY-C,3224,280,3,,,201203,20140404,,,911829,2004,HR
20160809,SM,3,169,US0081,214,0.78,216,0.493,ML NS,001305057,OVERLAY,,OV,,AGGR (TY-B GR-5 OR TY-L GR-5 SAC-B) | ASPH (RC-250),Seal coat grade 5,316,70,2,,,201203,20121111,,,14105,2004,MR
20160809,SM,3,169,US0081,214,0.78,216,0.493,ML NS,001305057,OVERLAY,,OV,,"PLANE ASPH CONC PAV(2"" TO 4"") | PLANE ASPH CONC PAV (1.5"")",Milling,354,80,3,4,,201203,20121111,119854,SY,1.125,2004,MR
