dtin,src,district,county,hwy,brm,bdp,erm,edp,lane,csj,pjdesc,workid,wrk,funcode,descr,layer,itm,lin,layerno,mthk,activity,letdate,compdate,qty,unt,cost,spec_yr,rehab
20160815,SM,13,90,UA0090,540,0.516,546,1.973,ML EW,002505018,ASPHALTIC CONCRETE PAVEMENT,,OV,,EMULS ASPH (EROSN CONT)(CSS-1H),Prime coat,314,106,5,,,200603,20070101,,,81995.32,2004,
20160815,SM,13,90,UA0090,540,0.516,546,1.973,ML EW,002505018,ASPHALTIC CONCRETE PAVEMENT,,OV,,ASPH (AC-15P OR CRS-2P) | AGGR(TY-PE GR-3 SAC-B) | ASPH (AC-15P OR CRS-2P)(INTER) | AGGR (TY-PE GR-3 SAC-B)(INTER),Seal coat grade 3,316,110,2,,,200603,20070101,,,946003.36,2004,
20160815,SM,13,90,UA0090,540,0.516,546,1.973,ML EW,002505018,ASPHALTIC CONCRETE PAVEMENT,,OV,,D-GR HMA(QCQA) TY-D SAC-B PG64-22 | PRODUCTION BONUS/PENALTY | PLACEMENT BONUS/PENALTY | D-GR HMA(QCQA) TY-D SAC-B PG70-22,Dense-graded HMA,341,130,1,,,200603,20070101,,,5325079.49,2004,
20160815,SM,13,90,UA0090,540,0.516,546,1.973,ML EW,002505018,ASPHALTIC CONCRETE PAVEMENT,,OV,,"PLANE ASPH CONC PAV(0' TO 3') | PLANE ASPH CONC PAV (2') | PLANE ASPH CONC PAV(0' TO 2')",Milling,354,140,3,3,,200603,20070101,55597,SY,1.94,2004,
20160815,SM,13,90,UA0090,540,0.516,546,1.973,ML EW,002505018,ASPHALTIC CONCRETE PAVEMENT,,OV,,"PAV JT UNDERSEAL (24')",Fabric underseal,356,155,4,,,200603,20070101,,,23128,2004,
20160815,SM,13,90,UA0090,536,1.997,540,0.528,ML EW,002505019,SEAL COAT,,SC,,AGGR(TY-PE GR-3 SAC-B) | ASPH (AC-20-5TR)(INTER) | ASPH (AC-15P OR AC-10-2TR)(INTER) | ASPH (AC-10-2TR OR AC-15P) | AGGR (TY-PE GR-4 SAC-B)(INTER) | AGGR(TY-PE GR-4 SAC-B) | ASPH (AC-15P OR AC-20-5TR)(INTER) | AGGR (TY-PE GR-3 SAC-B)(INTER) | ASPH (AC-15P OR AC-20-5TR) | ASPH (AC-20-5TR),Seal coat 2 CR,316,160,1,,,200910,20100909,,,3156562.89,2004,
20160815,SM,13,90,UA0090,554,0.11,554,0.785,ML EW,002506049,ASPHALTIC CONCRETE PAVEMENT,,OV,,ASPH MATL (RC-250),Prime coat,310,105,4,,,200403,20051111,,,29694.84,1993,
20160815,SM,13,90,UA0090,554,0.11,554,0.785,ML EW,002506049,ASPHALTIC CONCRETE PAVEMENT,,OV,,"ASPH (AC-15P OR CRS-2P) | AGGR (TY PE, GR 4)(INTERSECT) | ASPHALT (AC-15P OR CRS-2P)(INTER) | AGGR (TY PE GR4)",Seal coat grade 4,316,110,2,,,200403,20051111,,,326107.427,1993,
20160815,SM,13,90,UA0090,554,0.11,554,0.785,ML EW,002506049,ASPHALTIC CONCRETE PAVEMENT,,OV,,"PLANE ASPH CONC PAV (0' TO 2') | PLANE ASPH CONC PAV (0' TO 1 1/2 ')",Milling,354,130,3,2,,200403,20051111,210501,SY,0.6165,1993,
20160815,SM,13,90,UA0090,554,0.11,554,0.785,ML EW,002506049,ASPHALTIC CONCRETE PAVEMENT,,OV,,HOT MIX (TY C)(SURF)(PG 70-22 S) | HOT MIX (TY C)(LEVEL-UP)(PG 70-22S) | HOT MIX (TY C)(INTER)(PG 70-22S) | HOT MIX (TY C)(SURF)(PG 76-22S),Dense-graded HMA,3146,245,1,,,200403,20051111,69913.17,TON,40.934,1993,
